accession	symbol	ensembl	druggability	disease_assoc_count	top_disease_score	top_disease	top_MF_term	term_name	tier
Q8NGQ3	OR1S2	ENSG00000197887	0.96	4	0.146	carotid artery disorder	GO:0004984	olfactory receptor activity	HIGH
Q8NGI4	OR4D11	ENSG00000176200	0.93	5	0.145	systemic inflammatory response syndrome	GO:0004984	olfactory receptor activity	HIGH
A6H8M9	CDHR4	ENSG00000187492	0.70	29	0.142	hypertensive disorder	GO:0005515	protein binding	HIGH
Q9GZN6	SLC6A16	ENSG00000063127	0.99	25	0.133	pneumonitis	GO:0015370	solute:sodium symporter activity	HIGH
Q8N0Y3	OR4N4	ENSG00000183706	0.87	3	0.131	skin disorder	GO:0004930	G protein-coupled receptor activity	HIGH
Q9BZ76	CNTNAP3	ENSG00000106714	0.91	50	0.128	basal cell carcinoma	GO:0005515	protein binding	HIGH
O60811	PRAMEF2	ENSG00000120952	0.59	498	0.128	bladder exstrophy	GO:0005515	protein binding	HIGH
Q8NGE7	OR9K2	ENSG00000170605	0.91	6	0.127	liver disorder	GO:0004930	G protein-coupled receptor activity	HIGH
Q8N7C7	RNF148	ENSG00000235631	0.80	16	0.127	infectious meningitis	GO:0005515	protein binding	HIGH
Q6ZST4	LCNL1	ENSG00000214402	0.58	14	0.123	diabetes mellitus	GO:0036094	small molecule binding	HIGH
Q8NH64	OR51A7	ENSG00000176895	0.86	7	0.118	bladder exstrophy	GO:0004984	olfactory receptor activity	HIGH
O75373	ZNF737	ENSG00000237440	0.82	26	0.118	digestive system disorder	GO:0005488	binding	HIGH
Q9Y5F6	PCDHGC5	ENSG00000240764	0.82	25	0.118	hereditary disease	GO:0005509	calcium ion binding	HIGH
Q8NGG6	OR8B12	ENSG00000170953	0.78	3	0.118	ankylosing spondylitis	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NH21	OR4F5	ENSG00000186092	0.75	2	0.118	retinitis pigmentosa	GO:0004930	G protein-coupled receptor activity	HIGH
Q8TE96	DQX1	ENSG00000144045	0.54	28	0.118	arthrogryposis multiplex congenita	GO:0005488	binding	HIGH
C9JXX5	FREY1	ENSG00000234776	0.86	33	0.115	SAPHO syndrome	-	-	-
Q8NGI2	OR52N4	ENSG00000181074	0.62	8	0.112	gout	GO:0004984	olfactory receptor activity	HIGH
A6NMS3	OR5K4	ENSG00000196098	0.92	1	0.111	essential tremor	GO:0004984	olfactory receptor activity	HIGH
A6NET4	OR5K3	ENSG00000206536	0.91	2	0.111	essential tremor	GO:0004930	G protein-coupled receptor activity	HIGH
Q96FB5	METTL25B	ENSG00000143303	0.97	22	0.110	ovarian dysfunction	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	HIGH
Q8NH56	OR52N5	ENSG00000181009	0.91	7	0.108	complication	GO:0004984	olfactory receptor activity	HIGH
Q96R30	OR2V2	ENSG00000182613	0.95	2	0.104	diabetes mellitus	GO:0004984	olfactory receptor activity	HIGH
Q6JVE9	LCN8	ENSG00000204001	0.63	78	0.103	osteoarthritis	GO:0036094	small molecule binding	HIGH
Q5JW98	CALHM4	ENSG00000164451	0.99	201	0.102	retinitis pigmentosa	GO:0005515	protein binding	HIGH
Q14588	ZNF234	ENSG00000263002	0.78	25	0.100	ovarian dysfunction	GO:0005488	binding	HIGH
Q6IFG1	OR52E8	ENSG00000183269	0.80	4	0.096	kidney disorder	GO:0004930	G protein-coupled receptor activity	HIGH
Q8N815	CNTD1	ENSG00000176563	0.65	111	0.094	Female infertility due to fertilization defect	GO:0005515	protein binding	HIGH
Q8NE00	SLC38A12	ENSG00000109066	0.58	293	0.094	cellulitis	GO:0015171	amino acid transmembrane transporter activity	HIGH
A0A1W2PPL8	TAF11L14	ENSG00000250782	0.91	8	0.093	placenta praevia	GO:0046982	protein heterodimerization activity	HIGH
A0A1W2PQ09	TAF11L11	ENSG00000283740	0.66	2	0.088	alcohol drinking	GO:0046982	protein heterodimerization activity	HIGH
A0A1B0GWK0	PVALEF	ENSG00000225180	0.68	6	0.087	portal hypertension	GO:0005509	calcium ion binding	HIGH
Q8NGC5	OR6J1	ENSG00000255804	0.98	13	0.086	ulcerative colitis	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGG0	OR8J3	ENSG00000167822	0.91	9	0.085	liver disorder	GO:0004984	olfactory receptor activity	HIGH
P58173	OR2B6	ENSG00000124657	0.67	31	0.085	breast carcinoma	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGK4	OR52K1	ENSG00000196778	0.70	30	0.081	familial hemolytic anemia	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NHV5	MOSMO	ENSG00000185716	0.68	664	0.079	Heterotaxia	-	-	-
Q5SWL8	PRAMEF19	ENSG00000204480	0.80	496	0.078	non-syndromic male infertility due to sperm motility disorder	GO:0005515	protein binding	HIGH
Q9H1F0	WFDC10A	ENSG00000180305	0.52	6	0.077	Abnormality of the gastrointestinal tract	GO:0030414	peptidase inhibitor activity	HIGH
Q8NH67	OR52I2	ENSG00000226288	0.65	6	0.075	familial hemolytic anemia	GO:0004984	olfactory receptor activity	HIGH
Q5XG92	CES4A	ENSG00000172824	0.99	23	0.074	nasopharyngeal carcinoma	GO:0017171	serine hydrolase activity	HIGH
A6NI56	CCDC154	ENSG00000197599	0.96	286	0.074	laryngotracheoesophageal cleft	-	-	-
Q8NCS4	TMEM35B	ENSG00000243749	0.96	15	0.074	glioma	-	-	-
Q8NGL4	OR5D13	ENSG00000279761	0.90	9	0.074	metabolic syndrome	GO:0004930	G protein-coupled receptor activity	HIGH
Q15622	OR7A5	ENSG00000188269	0.78	43	0.074	cancer	GO:0004984	olfactory receptor activity	HIGH
Q8NGN1	OR6T1	ENSG00000181499	0.97	4	0.073	rheumatic disorder	GO:0004984	olfactory receptor activity	HIGH
P0DI80	ERLN	ENSG00000259120	0.57	33	0.072	autosomal dominant macrothrombocytopenia	-	-	-
A6NM10	AQP12B	ENSG00000185176	0.99	103	0.071	Hyperlipoproteinemia type 1	GO:0015267	channel activity	HIGH
P0C7T3	OR56A5	ENSG00000188691	0.92	5	0.071	cervical carcinoma	GO:0004984	olfactory receptor activity	HIGH
Q8NGC8	OR11H7	ENSG00000258806	0.80	2	0.069	sensory perception of smell	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGL0	OR5L2	ENSG00000205030	0.79	8	0.069	hypertrophic cardiomyopathy	GO:0004930	G protein-coupled receptor activity	HIGH
Q8IYP2	PRSS58	ENSG00000258223	0.55	6	0.069	ovarian neoplasm	GO:0004252	serine-type endopeptidase activity	HIGH
Q8NG76	OR2T33	ENSG00000177212	0.97	4	0.067	adolescent idiopathic scoliosis	GO:0004984	olfactory receptor activity	HIGH
A6NGE4	DCAF8L1	ENSG00000226372	0.86	19	0.066	breast carcinoma	GO:0005515	protein binding	HIGH
Q9BR11	ZSWIM1	ENSG00000168612	0.64	74	0.065	autosomal dominant severe congenital neutropenia	GO:0008270	zinc ion binding	HIGH
Q8NGV0	OR2Y1	ENSG00000174339	0.78	66	0.061	familial idiopathic steroid-resistant nephrotic syndrome	GO:0004930	G protein-coupled receptor activity	HIGH
A6NG13	MGAT4D	ENSG00000205301	0.94	19	0.060	esophageal adenocarcinoma	GO:0016757	glycosyltransferase activity	LOW
Q8NGG2	OR5T2	ENSG00000181718	0.88	4	0.058	hypertensive disorder	GO:0004984	olfactory receptor activity	HIGH
Q9H209	OR10A4	ENSG00000170782	0.77	10	0.056	microcephalic primordial dwarfism due to ZNF335 deficiency	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGI6	OR4D10	ENSG00000254466	0.87	14	0.054	cancer	GO:0004984	olfactory receptor activity	HIGH
A6NNS2	DHRS7C	ENSG00000184544	0.97	23	0.053	Phenotypic abnormality	GO:0016491	oxidoreductase activity	HIGH
O75820	ZNF189	ENSG00000136870	0.69	27	0.052	ankylosing spondylitis	GO:0005488	binding	HIGH
A0A3B3IU63	H2AL3	ENSG00000229674	0.92	4	0.051	eyelid disorder	GO:0003677	DNA binding	HIGH
Q8N8M0	NAT16	ENSG00000167011	0.91	17	0.049	viral meningitis	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	HIGH
A8MXE2	B3GALT9	ENSG00000214654	0.91	9	0.048	benign prostatic hyperplasia	GO:0008194	UDP-glycosyltransferase activity	HIGH
Q6P3V2	ZNF585A	ENSG00000196967	0.76	22	0.048	gout	GO:0005488	binding	HIGH
Q9H210	OR2D2	ENSG00000166368	0.85	5	0.047	tricuspid valve disorder	GO:0004984	olfactory receptor activity	HIGH
Q8NGE9	OR9Q2	ENSG00000186513	0.87	6	0.045	venous thromboembolism	GO:0004984	olfactory receptor activity	HIGH
Q8NGE8	OR4D9	ENSG00000172742	0.62	7	0.044	systemic inflammatory response syndrome	GO:0004984	olfactory receptor activity	HIGH
B5MCN3	SEC14L6	ENSG00000214491	0.97	18	0.043	hemolysis	GO:0005488	binding	HIGH
P0DPI3	CENPVL2	ENSG00000283093	0.96	5	0.043	spinal muscular atrophy	GO:0016846	carbon-sulfur lyase activity	HIGH
Q8NGQ6	OR9I1	ENSG00000172377	0.96	7	0.042	actinic keratosis	GO:0004984	olfactory receptor activity	HIGH
Q8NH79	OR6X1	ENSG00000221931	0.95	4	0.042	sign or symptom	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGY5	OR6N1	ENSG00000197403	0.83	8	0.042	spondylolisthesis	GO:0004984	olfactory receptor activity	HIGH
Q8NGP8	OR5M1	ENSG00000255012	0.75	10	0.042	blood coagulation disease	GO:0004984	olfactory receptor activity	HIGH
Q8NGY3	OR6K3	ENSG00000203757	0.94	4	0.041	non-small cell lung carcinoma	GO:0004930	G protein-coupled receptor activity	HIGH
Q6PP77	XKRX	ENSG00000182489	0.90	23	0.041	pancreatic adenocarcinoma	-	-	-
Q8NGT2	OR13J1	ENSG00000168828	0.72	4	0.040	liver disorder	GO:0004930	G protein-coupled receptor activity	HIGH
Q9H2C5	OR52A5	ENSG00000171944	0.64	3	0.040	colorectal adenocarcinoma	GO:0004984	olfactory receptor activity	HIGH
O95221	OR5F1	ENSG00000149133	0.99	10	0.039	venous thromboembolism	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGS1	OR1J4	ENSG00000239590	0.88	6	0.039	enteritis	GO:0004984	olfactory receptor activity	HIGH
A0A1W2PR95	IGBP1C	ENSG00000266826	0.78	3	0.039	hypertensive disorder	GO:0019888	protein phosphatase regulator activity	HIGH
Q8NGK6	OR52I1	ENSG00000232268	0.74	3	0.039	pancreatic adenocarcinoma	GO:0004984	olfactory receptor activity	HIGH
Q8NGF1	OR52R1	ENSG00000279270	0.79	13	0.038	disease of peritoneum	GO:0004984	olfactory receptor activity	HIGH
Q8NG94	OR11H1	ENSG00000130538	0.80	9	0.037	Vogt-Koyanagi-Harada disease	GO:0004930	G protein-coupled receptor activity	HIGH
Q2VIR3	EIF2S3B	ENSG00000180574	0.82	8	0.035	injury	GO:0000049	tRNA binding	HIGH
Q02325	PLGLB1	ENSG00000183281	0.59	20	0.035	migraine with aura	-	-	-
Q6IFN5	OR7E24	ENSG00000237521	0.82	8	0.034	pancreatic adenocarcinoma	GO:0004984	olfactory receptor activity	HIGH
P0DW13	TAF11L8	ENSG00000283967	0.78	2	0.034	placenta praevia	GO:0046982	protein heterodimerization activity	HIGH
Q8NH61	OR51F2	ENSG00000176925	0.75	10	0.034	pancreatic adenocarcinoma	GO:0004984	olfactory receptor activity	HIGH
Q8N146	OR8H3	ENSG00000181761	0.64	6	0.034	kidney failure	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NG95	OR7G3	ENSG00000170920	0.93	3	0.033	hyperaldosteronism	GO:0004930	G protein-coupled receptor activity	HIGH
P0DW12	TAF11L7	ENSG00000284465	0.56	1	0.033	placenta praevia	GO:0046982	protein heterodimerization activity	HIGH
Q8NGB9	OR4F6	ENSG00000184140	0.95	4	0.032	type 2 diabetes mellitus	GO:0004984	olfactory receptor activity	HIGH
Q8NHC6	OR14L1	ENSG00000198452	0.97	2	0.031	respiratory tract neoplasm	GO:0004984	olfactory receptor activity	HIGH
Q6IF42	OR2A2	ENSG00000221989	0.78	1	0.031	heart failure	GO:0004984	olfactory receptor activity	HIGH
Q8NH55	OR52E5	ENSG00000277932	0.70	3	0.031	myocardial infarction	GO:0004984	olfactory receptor activity	HIGH
Q8NGR8	OR1L8	ENSG00000171496	0.97	5	0.030	placental abruption	GO:0004984	olfactory receptor activity	HIGH
Q8NGZ9	OR2T10	ENSG00000184022	0.89	5	0.029	actinic keratosis	GO:0004984	olfactory receptor activity	HIGH
Q8NH72	OR4C6	ENSG00000181903	0.85	14	0.027	diabetic neuropathy	GO:0004984	olfactory receptor activity	HIGH
A6NL08	OR6C75	ENSG00000187857	0.78	2	0.027	immune system disorder	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NH73	OR4S2	ENSG00000174982	0.54	8	0.027	diabetic neuropathy	GO:0004930	G protein-coupled receptor activity	HIGH
A0A1B0GVZ9	TMEM269	ENSG00000274386	0.83	9	0.026	hypertensive disorder	-	-	-
Q8NH01	OR2T11	ENSG00000279301	0.75	5	0.024	actinic keratosis	GO:0004930	G protein-coupled receptor activity	HIGH
A0A3B3IRV3	MCTS2	ENSG00000101898	0.65	24	0.024	Hypoventilation	GO:0005515	protein binding	HIGH
Q6IF63	OR52W1	ENSG00000175485	0.99	4	0.020	peptic ulcer disease	GO:0004984	olfactory receptor activity	HIGH
Q53S08	RAB6D	ENSG00000233087	0.56	4	0.020	obesity disorder	GO:0005525	GTP binding	HIGH
Q9Y5P0	OR51B4	ENSG00000183251	0.96	19	0.017	cancer	GO:0004930	G protein-coupled receptor activity	HIGH
Q96R27	OR2M4	ENSG00000171180	0.91	3	0.013	autism	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGX5	OR10K1	ENSG00000173285	0.97	3	0.011	gastric carcinoma	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGU4	OR2I1	ENSG00000237988	0.76	9	0.011	neoplasm	GO:0004984	olfactory receptor activity	HIGH
Q8NGZ5	OR2G2	ENSG00000177489	0.76	3	0.011	acute myeloid leukemia	GO:0004930	G protein-coupled receptor activity	HIGH
B0FP48	UPK3BL1	ENSG00000267368	0.71	13	0.010	breast carcinoma	GO:0005515	protein binding	LOW
P47888	OR3A3	ENSG00000159961	0.91	7	0.009	gastric carcinoma	GO:0004930	G protein-coupled receptor activity	HIGH
P0DQD5	NPY4R2	ENSG00000264717	0.85	3	0.009	ulcerative colitis	GO:0004983	neuropeptide Y receptor activity	HIGH
P0DN82	OR12D1	ENSG00000251608	0.92	1	0.007	atrial fibrillation	GO:0004984	olfactory receptor activity	HIGH
Q8NGR2	OR1L6	ENSG00000171459	0.89	5	0.007	acute myeloid leukemia	GO:0004984	olfactory receptor activity	HIGH
Q8NGJ8	OR51S1	ENSG00000176922	0.65	2	0.007	prostate carcinoma	GO:0004930	G protein-coupled receptor activity	HIGH
P0CW19	LIMS3	ENSG00000256977	0.60	11	0.007	Abnormal sperm morphology	GO:0005515	protein binding	HIGH
P0CV98	TSPY3	ENSG00000228927	0.52	5	0.007	Infertility	GO:0005515	protein binding	HIGH
Q8NH16	OR2L2	ENSG00000203663	0.81	4	0.006	gastric carcinoma	GO:0004930	G protein-coupled receptor activity	HIGH
Q6NXP6	NOXRED1	ENSG00000165555	0.58	11	0.006	Alzheimer disease	GO:0003824	catalytic activity	HIGH
Q8NGX6	OR10R2	ENSG00000198965	0.98	1	0.004	T-cell leukemia	GO:0004930	G protein-coupled receptor activity	HIGH
Q86UE3	ZNF546	ENSG00000187187	0.79	15	0.004	lobular neoplasia	GO:0005488	binding	HIGH
P0CV99	TSPY4	ENSG00000233803	0.63	4	0.004	infectious disease	GO:0005515	protein binding	HIGH
Q8NGN5	OR10G8	ENSG00000234560	0.91	1	0.003	cancer	GO:0004984	olfactory receptor activity	HIGH
Q8NGX8	OR6Y1	ENSG00000197532	0.57	1	0.003	diabetes mellitus	GO:0004930	G protein-coupled receptor activity	HIGH
P0C7X4	-	-	1.00	0	0.000	-	GO:0008199	ferric iron binding	HIGH
A0ABB0MV19	-	-	0.99	0	0.000	-	GO:0019843	rRNA binding	HIGH
A6NHM9	-	-	0.99	0	0.000	-	GO:0004500	dopamine beta-monooxygenase activity	HIGH
Q8NH63	-	-	0.99	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
O95013	OR4F21	ENSG00000176269	0.98	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
Q8MH63	-	-	0.97	0	0.000	-	GO:0015179	L-amino acid transmembrane transporter activity	HIGH
P0C628	-	-	0.96	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
P0C646	-	-	0.96	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
P0DMU2	-	-	0.96	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGY7	-	-	0.96	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NH85	-	ENSG00000291849	0.96	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
O60774	-	-	0.95	0	0.000	-	GO:0050661	NADP binding	HIGH
P0DN81	-	-	0.95	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NH94	OR1L1	ENSG00000173679	0.95	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
A0A096LPK9	OR4N4C	ENSG00000279408	0.94	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
A0A0B4J1V7	-	-	0.94	0	0.000	-	GO:0005515	protein binding	HIGH
O76000	-	ENSG00000226832	0.94	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
Q8NH09	-	-	0.93	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NH42	-	ENSG00000291806	0.93	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
H0Y7S4	-	ENSG00000283216	0.92	0	0.000	-	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	HIGH
Q6UXT6	-	-	0.92	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q96R72	OR4K3	ENSG00000176290	0.92	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
P0C7N5	-	ENSG00000281038	0.91	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
Q6ZN68	-	-	0.91	0	0.000	-	-	-	-
Q8NHA6	-	-	0.91	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
Q99463	-	-	0.91	0	0.000	-	GO:0004983	neuropeptide Y receptor activity	HIGH
O60397	-	-	0.90	0	0.000	-	GO:0005515	protein binding	MEDIUM
Q9UGF7	-	ENSG00000224487	0.90	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
Q6ZSU1	-	-	0.89	0	0.000	-	GO:0020037	heme binding	HIGH
Q8NGA2	-	-	0.89	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
A0AAG2TV02	-	-	0.88	0	0.000	-	GO:0005515	protein binding	HIGH
Q5JRS4	-	-	0.88	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
A0A0B4J1Y9	-	-	0.87	0	0.000	-	GO:0005515	protein binding	HIGH
P0DSN6	-	-	0.87	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q6ZUA9	-	ENSG00000291473	0.86	0	0.000	-	GO:0005488	binding	HIGH
Q8NH04	-	ENSG00000292015	0.86	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
A0A075B7F0	-	-	0.85	0	0.000	-	GO:0005515	protein binding	HIGH
P59922	-	-	0.85	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
A0AAQ5BHU3	-	-	0.84	0	0.000	-	GO:0005198	structural molecule activity	HIGH
Q58FF6	-	-	0.84	0	0.000	-	GO:0140662	ATP-dependent protein folding chaperone	HIGH
Q8NCQ3	-	-	0.84	0	0.000	-	-	-	-
A8MVZ5	-	-	0.83	0	0.000	-	GO:0005515	protein binding	HIGH
P0C7N8	-	-	0.83	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q7Z5A4	-	-	0.83	0	0.000	-	GO:0004252	serine-type endopeptidase activity	HIGH
A0A0J9YY99	-	-	0.81	0	0.000	-	GO:0005515	protein binding	HIGH
A0A0B4J1X5	-	-	0.80	0	0.000	-	GO:0005515	protein binding	HIGH
A0A0C4DH30	-	-	0.80	0	0.000	-	GO:0005515	protein binding	MEDIUM
A0A0C4DH68	-	-	0.80	0	0.000	-	GO:0005515	protein binding	HIGH
Q8N148	-	ENSG00000277378	0.80	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
Q8TDU5	-	-	0.80	0	0.000	-	GO:0016503	pheromone receptor activity	HIGH
O96002	-	-	0.79	0	0.000	-	-	-	-
Q8NGJ3	-	ENSG00000292245	0.79	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
A0A075B6X5	-	-	0.78	0	0.000	-	GO:0005515	protein binding	MEDIUM
A6NC97	-	-	0.78	0	0.000	-	GO:0005515	protein binding	LOW
F8VTS6	RFPL4AL1	ENSG00000229292	0.78	1	0.000	sarcoma	GO:0005515	protein binding	HIGH
Q5STR5	SMIM40	ENSG00000286920	0.78	0	0.000	-	-	-	-
Q9GIP4	-	-	0.78	0	0.000	-	GO:0022857	transmembrane transporter activity	HIGH
A0AAG2SXN7	-	-	0.77	0	0.000	-	GO:0004657	proline dehydrogenase activity	HIGH
Q96R69	-	-	0.77	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
A0A087WYE8	-	-	0.76	0	0.000	-	GO:0005515	protein binding	MEDIUM
A0A0B4J245	-	-	0.76	0	0.000	-	GO:0005515	protein binding	HIGH
A0A0B4J1V1	-	-	0.75	0	0.000	-	GO:0005515	protein binding	HIGH
A0A0B4J273	-	-	0.75	0	0.000	-	GO:0005515	protein binding	HIGH
Q2M238	-	-	0.75	0	0.000	-	GO:0001181	RNA polymerase I general transcription initiation factor activity	HIGH
Q6UXR4	-	-	0.75	0	0.000	-	GO:0004867	serine-type endopeptidase inhibitor activity	HIGH
A0A075B6U6	-	-	0.74	0	0.000	-	GO:0005515	protein binding	MEDIUM
A0A0A6YYG3	-	-	0.74	0	0.000	-	GO:0005515	protein binding	HIGH
A0A5B0	-	-	0.74	0	0.000	-	GO:0005515	protein binding	HIGH
P58181	-	ENSG00000273953	0.74	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
P58550	-	-	0.74	0	0.000	-	GO:0099106	ion channel regulator activity	HIGH
A6NCF6	-	-	0.73	0	0.000	-	GO:0005515	protein binding	HIGH
A6NGN4	-	ENSG00000283216	0.73	0	0.000	-	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	HIGH
P47883	-	-	0.73	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
A6NK97	-	-	0.72	0	0.000	-	GO:0022857	transmembrane transporter activity	HIGH
A6NM43	-	-	0.72	0	0.000	-	GO:0140662	ATP-dependent protein folding chaperone	HIGH
P61550	-	-	0.72	0	0.000	-	-	-	-
A0A0C4DH31	-	-	0.71	0	0.000	-	GO:0005515	protein binding	MEDIUM
A0A5A2	-	-	0.71	0	0.000	-	GO:0005515	protein binding	MEDIUM
Q9UN75	-	ENSG00000291663	0.71	0	0.000	-	GO:0005509	calcium ion binding	HIGH
A0A075B6S4	-	-	0.70	0	0.000	-	GO:0005515	protein binding	HIGH
A0A0C4DH33	-	-	0.70	0	0.000	-	GO:0005515	protein binding	HIGH
Q8NHA8	-	-	0.70	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
P0DP07	-	-	0.68	0	0.000	-	GO:0005515	protein binding	MEDIUM
Q8NGA4	-	-	0.68	0	0.000	-	GO:0005515	protein binding	HIGH
A0A0B4J2H0	-	-	0.67	0	0.000	-	GO:0005515	protein binding	MEDIUM
Q8NHC8	-	ENSG00000292016	0.67	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
Q9BXR3	-	-	0.67	0	0.000	-	GO:0004523	RNA-DNA hybrid ribonuclease activity	HIGH
A0A0J9YXX1	-	-	0.66	0	0.000	-	GO:0005515	protein binding	MEDIUM
A4D1U4	-	ENSG00000262599	0.66	0	0.000	-	GO:0005085	guanyl-nucleotide exchange factor activity	MEDIUM
A6NFF2	-	-	0.66	0	0.000	-	GO:0005488	binding	HIGH
P0DN80	-	-	0.66	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
P63132	-	-	0.66	0	0.000	-	GO:0004523	RNA-DNA hybrid ribonuclease activity	HIGH
Q6IF36	-	-	0.66	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGP6	-	ENSG00000291862	0.66	0	0.000	-	GO:0004930	G protein-coupled receptor activity	HIGH
Q8NGR1	-	ENSG00000277495	0.66	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
Q8NGG4	-	ENSG00000291864	0.65	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
A0A087WZ39	-	-	0.64	0	0.000	-	GO:0005515	protein binding	HIGH
A8MVU1	-	-	0.64	0	0.000	-	GO:0016176	superoxide-generating NADPH oxidase activator activity	HIGH
P0DP09	-	-	0.64	0	0.000	-	GO:0005515	protein binding	HIGH
P61576	-	-	0.64	0	0.000	-	-	-	-
Q4QY38	-	ENSG00000284754	0.64	0	0.000	-	GO:0005488	binding	HIGH
A0A0U1RRA0	ZNF593OS	ENSG00000236782	0.63	3	0.000	hereditary breast carcinoma	-	-	-
Q8N1T3	-	-	0.63	0	0.000	-	GO:0005524	ATP binding	HIGH
Q8NE28	-	ENSG00000281245	0.63	0	0.000	-	GO:0005524	ATP binding	HIGH
A0A1B0GXF2	-	-	0.62	0	0.000	-	GO:0005515	protein binding	HIGH
E5RIL1	UPK3BL2	ENSG00000284981	0.62	1	0.000	uterine corpus endometrial carcinoma	GO:0004725	protein tyrosine phosphatase activity	LOW
Q5VZ03	-	ENSG00000291520	0.62	0	0.000	-	GO:0005515	protein binding	HIGH
Q9H6N6	-	-	0.62	0	0.000	-	-	-	-
A0A0G2JNH3	-	ENSG00000278178	0.59	0	0.000	-	GO:0004984	olfactory receptor activity	HIGH
A6NIE9	-	-	0.59	0	0.000	-	GO:0004252	serine-type endopeptidase activity	HIGH
A0A494C1R9	TSPY9	ENSG00000238074	0.58	0	0.000	-	GO:0005515	protein binding	HIGH
A0AAG2SXZ4	-	-	0.58	0	0.000	-	GO:0005515	protein binding	MEDIUM
Q8N1L4	-	-	0.58	0	0.000	-	GO:0020037	heme binding	HIGH
A0A1W2PRN6	-	-	0.57	0	0.000	-	GO:0046982	protein heterodimerization activity	HIGH
P0CL84	-	-	0.57	0	0.000	-	GO:0005488	binding	HIGH
P0DPF4	-	-	0.57	0	0.000	-	GO:0005515	protein binding	HIGH
Q9BZK3	-	-	0.57	0	0.000	-	GO:0005515	protein binding	MEDIUM
P0DP08	-	-	0.56	0	0.000	-	GO:0005515	protein binding	MEDIUM
A0A0A6YYJ7	-	-	0.55	0	0.000	-	GO:0005515	protein binding	HIGH
A0A0G2JMI3	-	-	0.55	0	0.000	-	GO:0005515	protein binding	HIGH
P0DTW3	-	-	0.55	0	0.000	-	GO:0005515	protein binding	MEDIUM
Q5TYX0	-	ENSG00000282424	0.55	0	0.000	-	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	HIGH
A0A075B6I1	-	-	0.54	0	0.000	-	GO:0005515	protein binding	HIGH
A0A0A6YYK4	-	-	0.54	0	0.000	-	GO:0005515	protein binding	MEDIUM
A0A576	-	-	0.54	0	0.000	-	GO:0005515	protein binding	MEDIUM
Q6ZMS4	-	ENSG00000281626	0.54	0	0.000	-	GO:0005488	binding	HIGH
A0A075B6K5	-	-	0.53	0	0.000	-	GO:0005515	protein binding	HIGH
