representative	size	n_dark	top_interpro	interpro_purity	n_annotated	disjoint_MF_pairs
Q9VQ01	4	3	IPR006439	1.00	1	0
Q9VUW4	4	1	IPR000760	1.00	3	0
Q9W2V7	4	0	IPR021151	1.00	3	0
O14829	4	1	IPR029052	1.00	3	0
O94898	4	0	IPR001611	0.75	4	0
P0CX50	4	0	IPR000039	1.00	4	0
P41220	4	0	IPR016137	1.00	4	0
Q9VXQ0	4	0	IPR000597	1.00	4	2
E1JIB1	4	3	IPR031720	0.50	1	0
M9ND39	4	3	IPR011333	1.00	1	0
P02743	4	1	IPR013320	1.00	3	0
P02792	4	0	IPR008331	1.00	3	0
P02828	4	0	IPR001404	1.00	3	0
P36147	4	0	IPR039175	0.50	2	0
P38234	4	0	IPR005025	0.50	4	1
P48728	4	1	IPR027266	1.00	3	2
P49590	4	0	IPR045864	1.00	3	0
P49662	4	0	IPR029030	1.00	3	0
P86397	4	2	IPR029069	0.75	2	1
Q00169	4	1	IPR055261	1.00	2	0
Q10981	4	0	IPR002516	0.50	4	2
Q12168	4	1	IPR027268	0.75	3	0
Q12207	4	3	IPR008253	0.50	0	0
Q16828	4	0	IPR029021	1.00	4	0
Q17RP2	4	0	IPR004875	1.00	2	0
Q68D91	4	2	IPR036866	1.00	2	0
Q86TL0	4	0	IPR038765	1.00	4	0
Q86XE3	4	0	IPR018247	1.00	4	1
Q8NBL1	4	0	IPR051091	0.50	4	0
Q96T66	4	0	IPR045094	0.75	3	0
Q9H8W4	4	0	IPR011993	1.00	3	0
Q9P2K9	4	0	IPR053958	1.00	1	0
Q9VHG4	4	0	IPR057318	0.50	3	2
Q9VQD8	4	0	IPR006789	1.00	4	0
Q9VRJ3	4	0	IPR036282	0.75	3	2
Q9VZW1	4	0	IPR005552	0.50	2	0
Q9W0E2	4	1	IPR001932	1.00	2	0
P54284	4	0	IPR027417	1.00	3	2
P56470	4	1	IPR013320	1.00	3	0
Q04751	4	0	IPR016181	1.00	4	0
Q06406	4	0	IPR010920	1.00	4	0
Q6UB28	4	1	IPR002467	1.00	3	0
Q8IYQ7	4	0	IPR036052	0.50	3	0
Q8MMD0	4	1	IPR007262	1.00	3	0
Q9UP52	4	0	IPR046450	1.00	3	0
Q9V444	4	0	IPR009072	1.00	4	0
Q9VL89	4	1	IPR000994	0.75	3	1
Q9VTQ3	4	1	IPR033192	0.25	2	0
Q9VTZ2	4	1	IPR012340	1.00	3	0
Q9VU70	4	2	IPR011990	1.00	1	0
Q9VY83	4	3	IPR008183	1.00	0	0
Q9VYB7	4	0	IPR027417	1.00	4	0
Q9VZE4	4	1	IPR000504	1.00	3	0
Q9Y5S8	4	0	IPR013130	1.00	4	0
Q9Y6I8	4	1	IPR055299	0.67	2	0
O60603	4	0	IPR001611	1.00	4	0
P08582	4	0	IPR018195	1.00	3	0
P24868	4	0	IPR000435	0.75	4	0
P25335	4	1	IPR011051	0.75	3	0
P25559	4	0	IPR019128	0.50	4	0
P38753	4	0	IPR008942	0.50	4	0
P52757	4	1	IPR000980	0.50	3	0
P53187	4	1	IPR036388	0.50	3	0
Q12396	4	0	IPR051136	1.00	3	0
Q12461	4	1	IPR043170	1.00	3	0
Q12690	4	0	IPR018256	1.00	4	0
Q5D0E6	4	0	IPR009080	1.00	3	1
Q70PY2	4	0	IPR015510	1.00	2	1
Q8N339	4	0	IPR023587	1.00	4	0
Q92832	4	0	IPR009030	0.75	3	0
Q96JP0	4	3	IPR036770	1.00	1	0
Q9H324	4	1	IPR000884	1.00	3	0
Q9NVG8	4	1	IPR000195	1.00	3	0
Q9NWW9	4	0	IPR051496	1.00	4	0
Q9VAC1	4	0	IPR037171	1.00	3	0
Q9VF59	4	1	IPR002733	0.50	0	0
Q9VFE0	4	0	IPR023674	1.00	4	0
Q9VFF0	4	0	IPR050361	1.00	3	0
Q9VG15	4	2	IPR051221	0.50	2	0
Q9VKB0	4	0	IPR045864	1.00	4	2
Q9VRY0	4	0	IPR023398	1.00	3	0
Q9VSP9	4	3	IPR035984	1.00	1	0
Q9VT29	4	1	IPR004843	1.00	2	0
Q9VWX7	4	1	IPR011598	1.00	3	0
Q9VX24	4	1	IPR000719	1.00	3	0
Q9VX97	4	2	IPR027417	1.00	1	0
A0A0B4JCY9	3	2	IPR012624	0.50	0	0
A1Z6N4	3	0	IPR002129	1.00	3	0
A1Z9G9	3	0	IPR007852	0.33	2	1
M9PFN0	3	0	IPR004274	1.00	3	1
M9PI37	3	0	IPR018491	1.00	3	0
O00764	3	1	IPR029056	1.00	1	0
O95476	3	1	IPR004274	1.00	2	0
P09936	3	0	IPR036959	1.00	3	0
P0CG33	3	2	IPR024858	0.67	1	0
P0CG47	3	0	IPR007239	0.67	3	0
P23248	3	0	IPR018281	1.00	2	0
P23560	3	0	IPR020408	1.00	3	0
P35236	3	0	IPR016130	0.67	2	0
P35443	3	0	IPR000742	1.00	3	0
P42938	3	0	IPR027417	1.00	3	1
P43593	3	0	IPR038765	1.00	3	0
P43639	3	0	IPR035991	1.00	3	0
P46020	3	1	IPR045583	1.00	2	1
P62273	3	0	IPR043140	1.00	3	0
P78385	3	0	IPR018039	1.00	3	0
Q07451	3	0	IPR040463	1.00	0	0
Q86BH3	3	1	IPR002745	1.00	2	0
Q86SG6	3	0	IPR000719	0.33	1	0
Q8IRP6	3	1	IPR036869	1.00	2	0
Q8IRR0	3	0	IPR001199	1.00	1	0
Q8IUB3	3	1	IPR008197	1.00	2	0
Q8IUX4	3	0	IPR016192	1.00	3	0
Q8TET4	3	1	IPR000322	1.00	2	0
Q8WVH0	3	1	IPR008849	0.67	2	0
Q96DY2	3	0	IPR036122	0.67	2	0
Q96EN9	3	0	IPR009078	0.67	3	2
Q96FZ7	3	0	IPR005024	1.00	2	0
Q96G75	3	0	IPR006594	1.00	2	0
Q96GK7	3	1	IPR051121	1.00	2	0
Q9BRI3	3	0	IPR027469	1.00	3	0
Q9BUE0	3	0	IPR019095	0.67	3	0
Q9W5N2	3	0	IPR002675	1.00	3	0
Q9XYR0	3	0	IPR008974	1.00	3	0
A1ZA28	3	1	IPR007529	1.00	2	0
A1ZBI7	3	2	IPR000246	1.00	1	0
A2RUC4	3	0	IPR041667	1.00	3	0
O16129	3	0	IPR045864	1.00	3	0
O43464	3	0	IPR001478	1.00	3	0
O75223	3	0	IPR036568	1.00	3	0
O75390	3	0	IPR016143	1.00	3	0
O75570	3	0	IPR045853	1.00	3	0
P04626	3	0	IPR000719	1.00	3	0
P06744	3	1	IPR035476	0.33	2	0
P06785	3	1	IPR020940	1.00	2	0
P10834	3	0	IPR035979	0.67	3	0
P10963	3	0	IPR008210	1.00	2	0
P13010	3	0	IPR006164	1.00	2	0
P13646	3	0	IPR018039	1.00	3	0
P18031	3	0	IPR016130	1.00	3	0
P18562	3	0	IPR000836	1.00	3	0
P32580	3	0	IPR001650	1.00	2	0
P32606	3	0	IPR013943	0.33	2	0
P32899	3	0	IPR002942	1.00	3	1
P39102	3	0	IPR008971	1.00	3	2
P39722	3	0	IPR027417	1.00	3	0
P46777	3	0	IPR057268	1.00	3	0
P46943	3	1	IPR000795	1.00	2	0
P47173	3	1	IPR000086	1.00	2	0
Q03798	3	0	IPR007356	0.67	2	0
Q13158	3	0	IPR011029	1.00	3	0
Q13185	3	0	IPR051219	1.00	3	0
Q2PDX2	3	1	IPR018607	1.00	2	0
Q3MIR4	3	1	IPR005045	1.00	2	0
Q6P589	3	0	IPR008477	1.00	3	0
Q8IMV0	3	1	IPR018022	1.00	2	0
Q8INX6	3	2	IPR031734	1.00	1	0
Q8INZ7	3	2	IPR005336	1.00	1	0
Q8NFZ5	3	0	IPR022008	0.33	3	0
Q8TBY0	3	0	IPR000504	0.67	2	0
Q8TBY9	3	0	IPR015943	0.67	2	0
Q8TCT8	3	0	IPR016574	0.67	2	0
Q8TE02	3	0	IPR019519	0.67	3	0
Q96NB2	3	0	IPR004686	1.00	3	2
Q96QA5	3	0	IPR041263	1.00	1	0
Q96SU4	3	0	IPR037239	1.00	3	0
Q9GYV5	3	1	IPR034735	0.67	2	0
Q9GZP9	3	0	IPR035952	1.00	2	0
Q9GZX9	3	0	IPR006761	1.00	3	0
Q9H0W7	3	0	IPR006612	1.00	2	0
Q9VMW7	3	2	IPR029001	1.00	1	0
Q9VNE1	3	0	IPR045091	1.00	3	0
Q9W173	3	0	IPR029033	1.00	2	0
Q9W2M0	3	0	IPR003914	0.67	3	0
A0A0B4K780	3	1	IPR013083	1.00	2	0
A0A0B4KG57	3	3	IPR036058	1.00	0	0
A0A0B4KHR2	3	1	IPR013083	0.67	2	1
A0A126GV02	3	3	IPR007588	1.00	0	0
P00558	3	1	IPR036043	1.00	2	0
P14543	3	0	IPR003886	1.00	3	2
P14555	3	1	IPR016090	1.00	2	0
P14682	3	1	IPR000608	1.00	2	0
P14743	3	0	IPR016181	1.00	3	0
P14906	3	0	IPR036869	1.00	2	0
P15529	3	0	IPR000436	1.00	3	0
P15531	3	1	IPR023005	1.00	2	0
P15873	3	1	IPR022649	0.67	2	0
P26785	3	0	IPR005755	1.00	3	0
P28239	3	0	IPR008162	1.00	3	0
P29279	3	0	IPR006208	1.00	3	0
P29413	3	0	IPR009033	1.00	1	0
P53343	3	1	IPR050788	1.00	0	0
P53632	3	1	IPR045862	0.33	2	0
P53746	3	0	IPR013130	1.00	2	0
P53933	3	0	IPR063302	0.67	3	0
P53972	3	0	IPR029063	1.00	3	2
Q08235	3	0	IPR007109	1.00	3	0
Q08409	3	0	IPR003593	1.00	3	1
Q14257	3	0	IPR002048	1.00	3	0
Q5PSV4	3	0	IPR013907	1.00	2	0
Q5T5M9	3	1	IPR036915	1.00	2	1
Q7KNF2	3	0	IPR000504	1.00	3	0
Q7KPA5	3	0	IPR036078	1.00	2	0
Q7KT06	3	0	IPR000719	1.00	3	0
Q7KUE6	3	1	IPR063275	1.00	0	0
Q7L5A8	3	0	IPR036400	1.00	3	0
Q7LG56	3	1	IPR012348	1.00	2	0
Q8NHQ9	3	0	IPR027417	1.00	3	0
Q969Q1	3	0	IPR001841	1.00	3	0
Q96BY2	3	0	IPR026523	1.00	3	0
Q96C86	3	1	IPR036265	1.00	2	0
Q9BZK3	3	2	IPR016641	1.00	1	0
Q9NQR4	3	1	IPR045254	1.00	2	0
Q9UMY4	3	0	IPR051074	1.00	3	0
Q9VAM9	3	0	IPR003607	1.00	3	2
Q9VB20	3	0	IPR000742	1.00	3	0
Q9VBY5	3	3	IPR059039	0.50	0	0
Q9VHR7	3	2	IPR043597	1.00	1	0
Q9VI64	3	2	IPR005322	1.00	1	0
Q9VIV6	3	2	IPR015797	1.00	1	0
Q9VIX9	3	2	IPR019399	1.00	1	0
Q9VJ61	3	1	IPR036457	1.00	2	0
Q9VPB1	3	2	IPR007311	0.67	0	0
Q9VPD2	3	0	IPR019591	1.00	3	0
Q9VQ29	3	0	IPR004192	1.00	1	0
Q9VW14	3	1	IPR013123	0.67	1	0
Q9W3I7	3	1	IPR041400	0.33	1	0
Q9W4K8	3	1	IPR029043	1.00	0	0
A0A2R8Y4Y8	3	2	IPR033222	1.00	1	0
A0A6I8WFJ4	3	0	IPR029034	1.00	3	0
A0FGR9	3	0	IPR031468	1.00	3	0
O14558	3	0	IPR008978	1.00	3	0
O15305	3	0	IPR006379	1.00	2	0
O75845	3	0	IPR006694	1.00	3	0
O76908	3	0	IPR007590	0.67	2	0
P0CX40	3	0	IPR018283	1.00	3	0
P0CX41	3	0	IPR036853	1.00	3	0
P0CX83	3	0	IPR035970	1.00	3	0
P0DP57	3	0	IPR016054	1.00	2	0
P10323	3	1	IPR018114	1.00	2	0
P31379	3	0	IPR052786	1.00	0	0
P32418	3	1	IPR018456	0.67	2	0
P40850	3	0	IPR029060	1.00	2	0
P40990	3	1	IPR011990	0.33	0	0
P41439	3	0	IPR004269	1.00	3	0
P41594	3	0	IPR001828	0.67	3	0
Q9VXF9	3	0	IPR057273	1.00	3	0
Q9VXQ1	3	3	IPR031750	1.00	0	0
Q9Y2Q9	3	0	IPR019375	0.67	3	0
Q9Y3D6	3	0	IPR011990	1.00	2	0
E1JHF8	3	2	IPR036880	1.00	0	0
E1JHP6	3	3	IPR032145	1.00	0	0
E7ERA6	3	2	IPR017907	0.33	0	0
P04053	3	0	IPR029398	1.00	3	0
P21964	3	0	IPR029063	0.67	3	0
P36134	3	1	IPR052102	1.00	1	0
P37193	3	0	IPR001055	1.00	2	0
P38148	3	0	IPR016130	1.00	3	0
P38157	3	1	IPR001138	1.00	1	0
P49589	3	0	IPR009080	0.67	3	0
P49619	3	0	IPR037607	1.00	3	0
P49767	3	0	IPR000072	0.33	2	0
Q00637	3	0	IPR036324	1.00	2	1
Q0E910	3	1	IPR035437	1.00	1	0
Q11130	3	0	IPR038577	1.00	3	0
Q12000	3	1	IPR000571	1.00	2	0
Q12045	3	0	IPR031852	0.67	3	1
Q12178	3	0	IPR016192	1.00	3	0
Q16851	3	0	IPR002618	1.00	3	0
Q16853	3	0	IPR049947	0.67	2	0
Q24185	3	0	IPR043936	1.00	3	0
Q24388	3	1	IPR037020	1.00	2	1
Q24492	3	0	IPR004365	1.00	3	0
Q27241	3	2	IPR003475	1.00	0	0
Q5VST6	3	1	IPR029058	1.00	2	0
Q5VZ03	3	1	IPR036249	1.00	2	0
Q68CP4	3	0	IPR012429	0.67	2	1
Q86UV7	3	1	IPR017907	1.00	2	0
Q86VE9	3	0	IPR005016	0.67	3	2
Q86WA8	3	0	IPR003593	1.00	3	0
Q86X60	3	2	IPR026768	1.00	1	0
Q8N6M8	3	0	IPR013805	0.67	2	0
Q8N7M0	3	0	IPR036164	0.67	3	2
Q8N9B8	3	0	IPR001895	1.00	3	0
Q8N9I5	3	2	IPR005804	1.00	1	0
Q8NB46	3	0	IPR036770	1.00	3	0
Q8NCR0	3	2	IPR003378	0.67	1	0
Q96T60	3	1	IPR006550	0.67	2	0
Q9BPZ2	3	0	IPR003671	1.00	3	0
Q9H8S5	3	1	IPR036915	1.00	1	0
Q9H9S3	3	0	IPR019561	1.00	3	0
Q9H9S4	3	0	IPR011989	1.00	3	0
Q9HB15	3	1	IPR003280	0.67	2	0
Q9HBI1	3	0	IPR028433	1.00	3	0
Q9P035	3	1	IPR008978	1.00	2	0
Q9P0J7	3	0	IPR000433	1.00	3	0
Q9P2N2	3	0	IPR000198	1.00	3	0
Q9UBM7	3	0	IPR018083	1.00	3	0
Q9VCJ6	3	1	IPR051291	1.00	2	0
Q9VCU7	3	0	IPR027417	0.67	2	0
Q9VRF3	3	0	IPR029071	1.00	3	0
Q9VZL8	3	1	IPR031720	0.50	1	0
Q9W0I7	3	0	IPR021151	1.00	3	0
P41805	3	0	IPR016180	1.00	2	0
P55212	3	0	IPR029030	1.00	3	0
P56381	3	1	IPR036742	1.00	2	0
Q04902	3	0	IPR029062	1.00	1	0
Q06278	3	0	IPR016169	1.00	3	0
Q6UW60	3	0	IPR002884	1.00	3	0
Q6UWN5	3	1	IPR045860	1.00	1	0
Q6UXP7	3	0	IPR030395	0.67	3	1
Q8IWT6	3	1	IPR001611	1.00	2	0
Q8MZC4	3	0	IPR012926	0.67	2	1
Q9V3H8	3	0	IPR045875	1.00	3	0
Q9V470	3	0	IPR005809	1.00	3	0
Q9VEM1	3	1	IPR005122	1.00	2	0
Q9VET3	3	2	IPR023476	1.00	1	0
Q9VL07	3	1	IPR046941	0.33	1	0
Q9VL18	3	1	IPR001326	0.33	1	0
Q9VL58	3	2	IPR036770	0.67	1	0
Q9VUE3	3	3	IPR013083	1.00	0	0
Q9VUN2	3	1	IPR000504	1.00	2	0
Q9VYR0	3	1	IPR047575	1.00	1	0
Q9VZF0	3	1	IPR036236	1.00	1	0
Q9Y5J7	3	0	IPR004217	1.00	3	0
Q9Y5Y6	3	1	IPR018114	1.00	2	0
A6NI61	3	0	IPR008901	0.67	2	0
O43812	3	1	IPR000047	1.00	2	0
O44081	3	0	IPR012960	1.00	2	0
O60477	3	1	IPR020864	0.67	2	1
O60675	3	0	IPR004827	1.00	3	0
P07266	3	0	IPR015242	0.67	3	2
P07274	3	0	IPR048278	1.00	2	0
P25443	3	0	IPR005711	1.00	3	0
P25631	3	1	IPR036770	1.00	2	1
P25642	3	0	IPR007740	1.00	3	2
P26263	3	0	IPR011766	1.00	3	0
P38711	3	0	IPR000592	1.00	3	2
P38756	3	0	IPR000594	1.00	3	0
P38794	3	1	IPR036915	0.67	2	0
P38828	3	1	IPR047575	1.00	2	0
P52656	3	0	IPR015872	1.00	3	0
P52868	3	0	IPR001623	1.00	1	0
Q02784	3	0	IPR036249	1.00	3	0
Q02809	3	0	IPR006620	1.00	3	0
Q12529	3	2	IPR001214	1.00	1	0
Q12794	3	1	IPR013785	0.67	2	0
Q12874	3	0	IPR031774	1.00	2	0
Q16558	3	0	IPR003930	1.00	3	0
Q4G0X9	3	0	IPR037386	0.33	2	0
Q53S33	3	0	IPR002634	1.00	2	0
Q5EBN2	3	1	IPR013083	1.00	2	0
Q7JR49	3	1	IPR008388	1.00	1	0
Q7JWD3	3	1	IPR025723	1.00	2	0
Q7JZB4	3	0	IPR029044	1.00	3	0
Q8N1G2	3	0	IPR016059	0.67	3	0
Q8N2H9	3	0	IPR048334	1.00	3	0
Q8N323	3	0	IPR026845	1.00	2	0
Q8N4B1	3	0	IPR001849	1.00	3	0
Q92643	3	0	IPR028361	1.00	2	0
Q92831	3	0	IPR016181	0.67	2	0
Q92889	3	2	IPR052267	0.67	1	0
Q92979	3	0	IPR029028	1.00	2	0
Q93063	3	0	IPR029044	1.00	3	0
Q96K76	3	0	IPR038765	1.00	3	0
Q96LB9	3	0	IPR006619	1.00	3	0
Q96LI5	3	0	IPR036691	1.00	3	0
Q9H3Q3	3	0	IPR009729	1.00	3	0
Q9H3R1	3	1	IPR021930	1.00	2	0
Q9NX18	3	0	IPR036714	1.00	2	0
Q9NYL4	3	0	IPR046357	1.00	1	0
Q9UGK3	3	0	IPR011993	1.00	3	0
Q9UHJ9	3	0	IPR019402	1.00	2	0
Q9UI10	3	1	IPR029041	0.67	2	0
Q9UIA0	3	0	IPR000904	1.00	3	0
Q9V9X3	3	2	IPR050993	1.00	1	0
Q9V9Z0	3	0	IPR036477	1.00	2	0
Q9VA79	3	1	IPR017907	0.67	2	0
Q9VFJ1	3	1	IPR009292	1.00	2	0
Q9VFM2	3	2	IPR031992	0.33	1	0
Q9VFY6	3	1	IPR027887	1.00	1	0
Q9VG04	3	1	IPR002737	1.00	1	0
Q9VG68	3	2	IPR005804	1.00	1	0
Q9VG79	3	0	IPR029149	1.00	2	0
Q9VKM3	3	0	IPR016702	1.00	1	0
Q9VKN4	3	1	IPR002995	1.00	1	0
Q9VKU0	3	0	IPR032675	1.00	2	0
Q9VRT6	3	2	IPR028031	1.00	0	0
Q9VSH0	3	1	IPR046903	1.00	1	0
Q9VT02	3	3	IPR052976	1.00	0	0
Q9VWP6	3	2	IPR002557	0.67	1	0
Q9VX13	3	2	IPR040176	1.00	1	0
A0A0B4K6B9	2	1	IPR002549	0.50	1	0
A1Z7K8	2	1	IPR012340	1.00	1	0
A1Z7S9	2	0	IPR036167	1.00	1	0
A1Z7W3	2	1	IPR018908	1.00	1	0
A1Z8L3	2	0	IPR011990	1.00	1	0
A1Z8X9	2	2	IPR053974	1.00	0	0
A1Z9I6	2	0	IPR001841	1.00	2	0
M9NFC6	2	2	IPR002919	1.00	0	0
O00264	2	0	IPR001199	1.00	2	0
O00391	2	0	IPR013766	1.00	1	0
O94923	2	0	IPR039721	1.00	2	0
O94952	2	0	IPR001810	1.00	2	0
O95164	2	0	IPR029071	1.00	2	0
O95190	2	0	IPR016181	1.00	2	0
O95302	2	1	IPR002048	1.00	1	0
O95639	2	0	IPR000571	1.00	2	1
O95749	2	0	IPR008949	1.00	1	0
O95980	2	1	IPR056978	1.00	1	0
P08865	2	1	IPR023591	1.00	1	0
P09758	2	0	IPR041630	0.50	2	0
P0CG39	2	0	IPR004000	1.00	0	0
P0CG69	2	0	IPR019956	1.00	1	0
P22438	2	0	IPR009080	1.00	2	0
P22855	2	0	IPR054723	1.00	2	0
P24387	2	0	IPR056177	0.50	2	1
P35189	2	0	IPR055129	1.00	2	0
P35226	2	0	IPR017907	1.00	2	0
P35232	2	0	IPR000163	1.00	1	0
P35875	2	0	IPR036420	1.00	2	0
P42900	2	0	IPR048401	0.50	2	1
P43557	2	0	IPR024461	1.00	1	0
P43558	2	0	IPR038765	1.00	2	0
P43609	2	0	IPR007526	0.50	2	0
P45378	2	0	IPR001978	1.00	2	0
P46063	2	0	IPR027417	1.00	2	0
P49917	2	0	IPR036420	1.00	2	0
P50942	2	0	IPR000300	1.00	2	0
P51948	2	0	IPR001841	1.00	2	0
P51998	2	0	IPR002136	1.00	2	1
P52485	2	0	IPR000608	1.00	2	0
P80217	2	0	IPR012677	1.00	2	0
Q06537	2	0	IPR019334	1.00	1	0
Q06597	2	0	IPR001763	1.00	2	0
Q06709	2	1	IPR040025	1.00	1	0
Q06943	2	1	IPR036910	1.00	0	0
Q07872	2	0	IPR013809	0.50	1	0
Q7Z2Z2	2	0	IPR041095	1.00	1	0
Q7Z412	2	0	IPR010797	0.50	1	0
Q7Z5J1	2	1	IPR051253	0.50	1	0
Q86BK9	2	1	IPR009332	1.00	1	0
Q86BL9	2	0	IPR017850	1.00	0	0
Q8IPZ0	2	2	IPR044925	1.00	0	0
Q8IRG6	2	0	IPR029149	1.00	2	0
Q8IRL9	2	1	IPR047187	1.00	1	0
Q8IU54	2	0	IPR029177	0.50	2	0
Q8TE67	2	0	IPR039801	0.50	1	0
Q8TF42	2	0	IPR051710	1.00	2	1
Q8WUJ3	2	0	IPR019316	1.00	2	0
Q8WV74	2	1	IPR000086	1.00	0	0
Q8WV92	2	1	IPR038113	1.00	1	0
Q8WWA0	2	0	IPR002181	1.00	2	0
Q8WX39	2	0	IPR012674	1.00	2	0
Q96D46	2	0	IPR039768	1.00	2	0
Q96DC9	2	0	IPR038765	1.00	2	0
Q96F25	2	0	IPR013969	1.00	2	0
Q96FX7	2	0	IPR029063	1.00	2	0
Q96G25	2	0	IPR019364	0.50	2	0
Q96GA7	2	0	IPR050147	1.00	2	0
Q96H12	2	1	IPR028002	0.50	1	0
Q9BRL7	2	0	IPR011012	1.00	2	0
Q9BTE3	2	1	IPR019140	1.00	1	0
Q9BTE7	2	0	IPR005176	1.00	2	0
Q9BTM9	2	0	IPR012675	1.00	1	0
Q9BTT4	2	0	IPR019145	1.00	2	0
Q9BVM4	2	1	IPR039126	1.00	1	0
Q9HCU9	2	0	IPR013907	1.00	1	0
Q9NPB6	2	0	IPR000270	1.00	2	0
Q9NPD7	2	0	IPR026144	1.00	1	0
Q9W501	2	0	IPR002088	1.00	2	0
Q9W5W6	2	1	IPR007303	1.00	1	0
Q9XYW6	2	0	IPR013083	1.00	2	0
Q9XYZ4	2	0	IPR041796	0.50	2	0
Q9XZ61	2	1	IPR036959	1.00	1	0
Q9XZS4	2	1	IPR013083	1.00	0	0
Q9Y123	2	1	IPR007594	0.50	0	0
A1ZAI1	2	1	IPR032974	1.00	1	0
A1ZAL7	2	1	IPR000245	1.00	1	0
A4D1U4	2	1	IPR037516	1.00	0	0
O15431	2	1	IPR007274	0.50	1	0
O15527	2	0	IPR003265	1.00	2	0
O60869	2	0	IPR001387	1.00	2	0
O60880	2	0	IPR036860	1.00	2	0
O75293	2	0	IPR024824	1.00	1	0
O75343	2	0	IPR001054	1.00	1	0
O75477	2	1	IPR036013	1.00	1	0
P05106	2	0	IPR036465	1.00	2	0
P05166	2	0	IPR011762	1.00	2	0
P05743	2	0	IPR005825	1.00	2	0
P05750	2	0	IPR018280	1.00	2	0
P06367	2	0	IPR036967	1.00	2	0
P07101	2	0	IPR018301	1.00	2	0
P10664	2	0	IPR002136	1.00	2	0
P11216	2	0	IPR035090	1.00	2	0
P11387	2	0	IPR013499	1.00	2	0
P11632	2	0	IPR036910	1.00	2	0
P12080	2	0	IPR013519	0.50	1	0
P12904	2	0	IPR000644	1.00	2	0
P17704	2	0	IPR001210	1.00	1	0
P17707	2	1	IPR016067	1.00	1	0
P18124	2	0	IPR018038	1.00	2	0
P18408	2	0	IPR002500	1.00	2	0
P18410	2	0	IPR005605	0.50	2	0
P19174	2	0	IPR035023	1.00	2	0
P19388	2	0	IPR020608	1.00	2	0
P19827	2	0	IPR050934	1.00	1	0
P32582	2	0	IPR000644	1.00	2	0
P32775	2	0	IPR017853	1.00	2	0
P33313	2	0	IPR044059	1.00	2	0
P33338	2	0	IPR013809	1.00	2	0
P33893	2	0	IPR023168	1.00	2	0
P38912	2	0	IPR012340	1.00	2	1
P38960	2	0	IPR024263	0.50	2	0
P39019	2	0	IPR036388	1.00	2	0
P39101	2	0	IPR052814	1.00	1	0
P39111	2	0	IPR008218	1.00	2	0
P39683	2	0	IPR036068	1.00	2	0
P39728	2	1	IPR063565	1.00	0	0
P40014	2	0	IPR064097	0.50	2	0
P46776	2	0	IPR030878	1.00	2	0
P46990	2	0	IPR018260	1.00	2	0
P47014	2	0	IPR029002	0.50	1	0
P47090	2	0	IPR053001	0.50	1	0
P47138	2	1	IPR036869	1.00	1	0
P47172	2	0	IPR019193	1.00	2	0
P47756	2	0	IPR037282	1.00	1	0
P47822	2	0	IPR037212	1.00	2	0
P58294	2	1	IPR023569	0.50	0	0
P58546	2	0	IPR036770	1.00	1	0
P59998	2	0	IPR034666	1.00	2	0
P61353	2	0	IPR018262	1.00	2	0
P61457	2	0	IPR001533	1.00	1	0
P61513	2	1	IPR011332	1.00	1	0
P61578	2	2	IPR059105	1.00	0	0
P61604	2	0	IPR037124	1.00	1	0
P61851	2	0	IPR001424	1.00	2	0
Q03591	2	0	IPR000436	1.00	2	0
Q04018	2	0	IPR005556	1.00	0	0
Q04067	2	0	IPR000504	1.00	2	0
Q04600	2	0	IPR039759	1.00	2	1
Q13144	2	0	IPR011004	1.00	2	0
Q13491	2	0	IPR018237	1.00	1	0
Q13609	2	0	IPR036691	1.00	1	0
Q13643	2	0	IPR001781	1.00	2	0
Q30KQ5	2	0	IPR025933	1.00	2	0
Q3E7C1	2	0	IPR009400	1.00	1	0
Q3E841	2	0	IPR021591	0.50	1	0
Q3KRB8	2	1	IPR000198	1.00	1	0
Q49AM1	2	0	IPR038538	1.00	2	0
Q49B96	2	1	IPR051383	1.00	1	0
Q6GUT7	2	0	IPR009392	1.00	0	0
Q6IBS0	2	0	IPR028458	1.00	2	0
Q6IPR3	2	0	IPR003827	1.00	2	1
Q6IQ26	2	0	IPR001194	1.00	2	0
Q6NSJ0	2	1	IPR000322	1.00	1	0
Q6NUM6	2	1	IPR029039	1.00	1	0
Q6NVH7	2	0	IPR027417	1.00	2	0
Q6NVU6	2	0	IPR012462	0.50	2	0
Q6P1J9	2	0	IPR007852	1.00	2	0
Q6P1Q0	2	1	IPR033122	1.00	1	0
Q6P2P2	2	0	IPR055135	1.00	2	0
Q6P531	2	1	IPR043137	1.00	1	0
Q8IFW4	2	0	IPR036249	1.00	1	0
Q8IH00	2	1	IPR035082	1.00	1	0
Q8IMZ6	2	0	IPR036910	1.00	0	0
Q8IP11	2	0	IPR006677	1.00	0	0
Q8IP62	2	0	IPR059242	1.00	2	1
Q8IP85	2	1	IPR001199	1.00	1	0
Q8IPT0	2	0	IPR015669	1.00	1	0
Q8NCS4	2	1	IPR040399	1.00	1	0
Q8NEJ9	2	0	IPR007146	1.00	1	0
Q8NG68	2	0	IPR052492	0.50	2	0
Q8T3X9	2	1	IPR035903	1.00	0	0
Q8TAD2	2	0	IPR029034	1.00	2	0
Q8TC36	2	1	IPR012919	1.00	1	0
Q8TD06	2	0	IPR012336	1.00	2	0
Q96MH2	2	0	IPR024872	0.50	1	0
