accession	family	scan_scope	status	missing_motifs	catalytic_CA_distance_A	experimental_catalytic_GO	known_pseudo
Q9M9S4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9NR20	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9NSY0	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9R117	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9S9J9	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9S9V0	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SCT4	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SD64	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9SF12	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9SF86	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9SFT7	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9SFX0	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SGI7	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SH71	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9SHU6	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9SIB6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SII6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SJQ1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SL76	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9SN80	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9SND6	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9SRH7	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SUA3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9SUQ3	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SV69	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q9SVD4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9SVY5	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9SVZ0	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9SX57	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9SY91	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9SYB9	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q9T033	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9UBS0	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9UEE5	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9UHY1	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9UIK4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9UK32	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9UKI8	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9UPE1	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9V400	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9V422	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9VAR0	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9VCL7	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9VHF6	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9VHH2	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9VT57	kinase	domain	pseudo-candidate	DFG	-	yes	-
Q9VU79	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9VWQ2	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9W133	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9W4F8	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
Q9WTK7	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9WUA6	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9WUT3	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9WVC6	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9WVL4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9XEE4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9XID3	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9Y243	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9Y463	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9Y616	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
Q9Y6M4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9Z0G2	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9Z188	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9Z1M4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9Z2B9	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9ZUF4	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9ZUI0	kinase	domain	pseudo-candidate	DFG	-	no	-
Q9ZVP5	kinase	domain	pseudo-candidate	HRD	-	yes	-
Q9ZW09	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9ZW11	kinase	domain	pseudo-candidate	HRD	-	no	-
Q9ZW72	kinase	domain	pseudo-candidate	DFG	-	no	-
A0A087WRH8	kinase	domain	active-like	-	8.0	no	-
A0A0B4K7J3	kinase	domain	active-like	-	8.0	yes	-
A0A140LJ87	kinase	domain	active-like	-	8.1	no	-
A0A1I9LTT1	kinase	domain	active-like	-	30.9	no	-
A0A1P8ASB9	kinase	domain	active-like	-	7.8	yes	-
A0A1P8ASI5	kinase	domain	active-like	-	7.7	no	-
A0A1P8AVQ6	kinase	domain	active-like	-	7.7	yes	-
A0A1P8AWS5	kinase	domain	active-like	-	7.9	no	-
A0A1P8AZS4	kinase	domain	active-like	-	7.7	no	-
A0A1P8BAU6	kinase	domain	active-like	-	7.9	no	-
A0A1P8BD07	kinase	domain	active-like	-	19.0	no	-
A0A1P8BGL4	kinase	domain	active-like	-	8.1	no	-
A0A1R7T3H1	kinase	domain	active-like	-	8.0	no	-
A0A3B2WD63	kinase	domain	active-like	-	8.4	no	-
A1Z7L8	kinase	domain	active-like	-	8.1	yes	-
A1Z840	kinase	domain	active-like	-	7.8	no	-
A8R7E6	kinase	domain	active-like	-	7.7	yes	-
B5X4Z9	kinase	domain	active-like	-	7.9	no	-
C0HKC9	kinase	domain	active-like	-	8.1	no	-
C0LGD6	kinase	domain	active-like	-	7.5	no	-
C0LGD7	kinase	domain	active-like	-	7.9	no	-
C0LGD8	kinase	domain	active-like	-	7.8	no	-
C0LGD9	kinase	domain	active-like	-	7.6	no	-
C0LGE0	kinase	domain	active-like	-	7.8	yes	-
C0LGF4	kinase	domain	active-like	-	7.8	no	-
C0LGF5	kinase	domain	active-like	-	7.6	no	-
C0LGG3	kinase	domain	active-like	-	7.6	no	-
C0LGG4	kinase	domain	active-like	-	7.7	no	-
C0LGG6	kinase	domain	active-like	-	7.8	no	-
C0LGG7	kinase	domain	active-like	-	7.8	no	-
C0LGG8	kinase	domain	active-like	-	7.9	no	-
C0LGG9	kinase	domain	active-like	-	8.0	no	-
C0LGH2	kinase	domain	active-like	-	7.8	no	-
C0LGH3	kinase	domain	active-like	-	7.6	no	-
C0LGI2	kinase	domain	active-like	-	7.7	no	-
C0LGJ1	kinase	domain	active-like	-	7.9	no	-
C0LGK9	kinase	domain	active-like	-	7.8	no	-
C0LGL4	kinase	domain	active-like	-	7.7	no	-
C0LGL9	kinase	domain	active-like	-	7.8	no	-
C0LGN2	kinase	domain	active-like	-	7.8	no	-
C0LGP2	kinase	domain	active-like	-	20.5	no	-
C0LGQ5	kinase	domain	active-like	-	7.4	no	-
C0LGQ7	kinase	domain	active-like	-	7.7	no	-
C0LGR3	kinase	domain	active-like	-	7.6	no	-
C0LGR6	kinase	domain	active-like	-	7.9	no	-
C0LGS2	kinase	domain	active-like	-	8.1	no	-
C0LGT1	kinase	domain	active-like	-	7.9	no	-
C0LGT5	kinase	domain	active-like	-	26.0	no	-
C0LGU1	kinase	domain	active-like	-	7.6	no	-
C0LGU5	kinase	domain	active-like	-	7.8	no	-
C0LGV0	kinase	domain	active-like	-	7.7	no	-
C0LGV1	kinase	domain	active-like	-	7.9	no	-
C0LGW2	kinase	domain	active-like	-	7.7	no	-
C0LGW6	kinase	domain	active-like	-	7.7	no	-
C0LGX1	kinase	domain	active-like	-	7.8	no	-
C0LGX3	kinase	domain	active-like	-	7.9	no	-
F4HQ17	kinase	domain	active-like	-	7.9	no	-
F4I065	kinase	domain	active-like	-	7.8	no	-
F4I0Z0	kinase	domain	active-like	-	8.0	no	-
F4I2K0	kinase	domain	active-like	-	8.4	yes	-
F4I2N7	kinase	domain	active-like	-	7.8	yes	-
F4I3K4	kinase	domain	active-like	-	7.6	no	-
F4I3V3	kinase	domain	active-like	-	7.8	no	-
F4I6E4	kinase	domain	active-like	-	8.2	no	-
F4IB63	kinase	domain	active-like	-	7.7	no	-
F4IB81	kinase	domain	active-like	-	7.9	no	-
F4IK85	kinase	domain	active-like	-	18.9	no	-
F4ISN5	kinase	domain	active-like	-	8.1	yes	-
F4IVI0	kinase	domain	active-like	-	7.8	no	-
F4J5Y7	kinase	domain	active-like	-	7.9	no	-
F4JI10	kinase	domain	active-like	-	23.8	no	-
F4JRQ4	kinase	domain	active-like	-	8.2	no	-
F4JTP5	kinase	domain	active-like	-	7.9	yes	-
F4JWD4	kinase	domain	active-like	-	7.7	no	-
F4JZT9	kinase	domain	active-like	-	19.1	no	-
F4K6B8	kinase	domain	active-like	-	7.7	no	-
F4KFD4	kinase	domain	active-like	-	8.4	yes	-
F4KI00	kinase	domain	active-like	-	7.9	yes	-
F4KIL1	kinase	domain	active-like	-	8.7	no	-
J3KMT3	kinase	domain	active-like	-	8.0	no	-
J3QK59	kinase	domain	active-like	-	8.0	no	-
O00238	kinase	domain	active-like	-	8.0	yes	-
O00311	kinase	domain	active-like	-	8.1	yes	-
O00506	kinase	domain	active-like	-	7.4	yes	-
O08605	kinase	domain	active-like	-	5.9	yes	-
O09110	kinase	domain	active-like	-	8.0	yes	-
O09127	kinase	domain	active-like	-	8.1	yes	-
O14733	kinase	domain	active-like	-	7.8	yes	-
O14757	kinase	domain	active-like	-	8.2	yes	-
O14920	kinase	domain	active-like	-	8.2	yes	-
O14965	kinase	domain	active-like	-	8.1	yes	-
O15075	kinase	domain	active-like	-	7.8	no	-
O15111	kinase	domain	active-like	-	8.2	yes	-
O15146	kinase	domain	active-like	-	8.3	yes	-
O15264	kinase	domain	active-like	-	8.0	yes	-
O15530	kinase	domain	active-like	-	7.8	yes	-
O17432	kinase	domain	active-like	-	7.6	yes	-
O18645	kinase	domain	active-like	-	8.2	yes	-
O22187	kinase	domain	active-like	-	7.7	no	-
O22476	kinase	domain	active-like	-	7.8	yes	-
O22558	kinase	domain	active-like	-	7.9	yes	-
O22764	kinase	domain	active-like	-	7.9	yes	-
O22833	kinase	domain	active-like	-	7.7	no	-
O22932	kinase	domain	active-like	-	8.3	yes	-
O22971	kinase	domain	active-like	-	8.3	no	-
O23145	kinase	domain	active-like	-	8.0	yes	-
O23236	kinase	domain	active-like	-	7.9	no	-
O23334	kinase	domain	active-like	-	7.9	no	-
O35099	kinase	domain	active-like	-	8.7	yes	-
O35280	kinase	domain	active-like	-	8.2	yes	-
O35495	kinase	domain	active-like	-	8.0	yes	-
O35942	kinase	domain	active-like	-	7.8	yes	-
O43353	kinase	domain	active-like	-	26.0	yes	-
O46308	kinase	domain	active-like	-	7.5	yes	-
O48837	kinase	domain	active-like	-	8.0	no	-
O49318	kinase	domain	active-like	-	7.8	no	-
O49545	kinase	domain	active-like	-	7.8	yes	-
O49564	kinase	domain	active-like	-	7.8	no	-
O49717	kinase	domain	active-like	-	8.4	no	-
O54785	kinase	domain	active-like	-	7.8	yes	-
O54833	kinase	domain	active-like	-	8.0	yes	-
O54863	kinase	domain	active-like	-	8.2	yes	-
O54949	kinase	domain	active-like	-	7.9	yes	-
O54992	kinase	domain	active-like	-	7.9	yes	-
O55098	kinase	domain	active-like	-	7.6	no	-
O61267	kinase	domain	active-like	-	7.8	yes	-
O61443	kinase	domain	active-like	-	8.1	yes	-
O61444	kinase	domain	active-like	-	7.5	no	-
O61661	kinase	domain	active-like	-	8.1	yes	-
O62602	kinase	domain	active-like	-	8.1	yes	-
O62618	kinase	domain	active-like	-	8.1	yes	-
O64483	kinase	domain	active-like	-	7.7	no	-
O64556	kinase	domain	active-like	-	7.7	no	-
O64573	kinase	domain	active-like	-	8.3	no	-
O64629	kinase	domain	active-like	-	8.2	yes	-
O64770	kinase	domain	active-like	-	19.3	no	-
O64771	kinase	domain	active-like	-	19.2	no	-
O64776	kinase	domain	active-like	-	19.4	no	-
O64777	kinase	domain	active-like	-	19.4	no	-
O64780	kinase	domain	active-like	-	19.1	no	-
O64781	kinase	domain	active-like	-	19.2	no	-
O64782	kinase	domain	active-like	-	19.3	yes	-
O64794	kinase	domain	active-like	-	7.8	no	-
O64812	kinase	domain	active-like	-	8.4	no	-
O64816	kinase	domain	active-like	-	7.9	no	-
O64817	kinase	domain	active-like	-	8.0	no	-
O65405	kinase	domain	active-like	-	7.7	no	-
O65440	kinase	domain	active-like	-	7.9	no	-
O65472	kinase	domain	active-like	-	7.9	no	-
O65476	kinase	domain	active-like	-	7.8	no	-
O65479	kinase	domain	active-like	-	7.9	no	-
O65554	kinase	domain	active-like	-	8.4	no	-
O70126	kinase	domain	active-like	-	8.3	yes	-
O75116	kinase	domain	active-like	-	8.6	yes	-
O75460	kinase	domain	active-like	-	8.4	yes	-
O75716	kinase	domain	active-like	-	7.9	yes	-
O75914	kinase	domain	active-like	-	8.1	yes	-
O76324	kinase	domain	active-like	-	8.2	yes	-
O80345	kinase	domain	active-like	-	7.7	no	-
O80396	kinase	domain	active-like	-	7.3	yes	-
O80397	kinase	domain	active-like	-	7.7	yes	-
O80623	kinase	domain	active-like	-	7.6	no	-
O80673	kinase	domain	active-like	-	8.4	yes	-
O80902	kinase	domain	active-like	-	8.1	no	-
O80939	kinase	domain	active-like	-	7.6	no	-
O80963	kinase	domain	active-like	-	22.4	yes	-
O81069	kinase	domain	active-like	-	7.8	no	-
O81291	kinase	domain	active-like	-	7.7	no	-
O81292	kinase	domain	active-like	-	7.7	no	-
O81833	kinase	domain	active-like	-	7.7	no	-
O81905	kinase	domain	active-like	-	7.7	no	-
O88351	kinase	domain	active-like	-	8.2	yes	-
O88445	kinase	domain	active-like	-	8.2	yes	-
O88643	kinase	domain	active-like	-	7.9	yes	-
O88697	kinase	domain	active-like	-	7.9	yes	-
O94804	kinase	domain	active-like	-	8.0	yes	-
O94921	kinase	domain	active-like	-	8.0	yes	-
O95382	kinase	domain	active-like	-	8.4	yes	-
O95747	kinase	domain	active-like	-	7.4	yes	-
O96013	kinase	domain	active-like	-	7.7	yes	-
O96017	kinase	domain	active-like	-	7.8	yes	-
O97143	kinase	domain	active-like	-	8.0	yes	-
P00528	kinase	domain	active-like	-	7.7	yes	-
P00533	kinase	domain	active-like	-	7.7	yes	-
P00546	kinase	domain	active-like	-	7.8	yes	-
P04626	kinase	domain	active-like	-	7.9	yes	-
P04627	kinase	domain	active-like	-	17.9	no	-
P04629	kinase	domain	active-like	-	10.6	yes	-
P05480	kinase	domain	active-like	-	7.7	yes	-
P05532	kinase	domain	active-like	-	7.7	yes	-
P05622	kinase	domain	active-like	-	7.8	yes	-
P06213	kinase	domain	active-like	-	10.3	yes	-
P06239	kinase	domain	active-like	-	7.8	yes	-
P06240	kinase	domain	active-like	-	7.8	yes	-
P06241	kinase	domain	active-like	-	7.7	yes	-
P06242	kinase	domain	active-like	-	7.7	yes	-
P06243	kinase	domain	active-like	-	8.0	yes	-
P06493	kinase	domain	active-like	-	7.9	yes	-
P06782	kinase	domain	active-like	-	8.2	yes	-
P06803	kinase	domain	active-like	-	8.0	yes	-
P07332	kinase	domain	active-like	-	7.7	yes	-
P07333	kinase	domain	active-like	-	16.4	yes	-
P07934	kinase	domain	active-like	-	8.1	yes	-
P07947	kinase	domain	active-like	-	7.8	yes	-
P07948	kinase	domain	active-like	-	7.8	yes	-
P07949	kinase	domain	active-like	-	8.0	yes	-
P08069	kinase	domain	active-like	-	8.3	yes	-
P08103	kinase	domain	active-like	-	7.8	no	-
P08181	kinase	domain	active-like	-	8.0	yes	-
P08414	kinase	domain	active-like	-	7.7	no	-
P08458	kinase	domain	active-like	-	7.8	yes	-
P08581	kinase	domain	active-like	-	10.8	no	-
P08630	kinase	domain	active-like	-	7.8	yes	-
P08631	kinase	domain	active-like	-	7.8	yes	-
P08923	kinase	domain	active-like	-	8.5	no	-
P09581	kinase	domain	active-like	-	17.2	yes	-
P09619	kinase	domain	active-like	-	7.6	yes	-
P09769	kinase	domain	active-like	-	7.8	yes	-
P0C263	kinase	domain	active-like	-	11.4	no	-
P0C264	kinase	domain	active-like	-	8.0	no	-
P0C5E2	kinase	domain	active-like	-	7.9	no	-
P0C5K0	kinase	domain	active-like	-	7.9	no	-
P0C5K1	kinase	domain	active-like	-	11.6	no	-
P10398	kinase	domain	active-like	-	18.0	yes	-
P10721	kinase	domain	active-like	-	7.5	yes	-
P11309	kinase	domain	active-like	-	8.0	yes	-
P11362	kinase	domain	active-like	-	8.5	yes	-
P11440	kinase	domain	active-like	-	8.2	yes	-
P11798	kinase	domain	active-like	-	8.4	yes	-
P11801	kinase	domain	active-like	-	7.9	yes	-
P11802	kinase	domain	active-like	-	7.9	yes	-
P12931	kinase	domain	active-like	-	7.7	yes	-
P14234	kinase	domain	active-like	-	7.8	yes	-
P14616	kinase	domain	active-like	-	8.7	yes	-
P14681	kinase	domain	active-like	-	7.7	yes	-
P15208	kinase	domain	active-like	-	10.5	yes	-
P15209	kinase	domain	active-like	-	10.9	yes	-
P15735	kinase	domain	active-like	-	8.1	yes	-
P15790	kinase	domain	active-like	-	8.0	yes	-
P16056	kinase	domain	active-like	-	10.8	yes	-
P16092	kinase	domain	active-like	-	8.1	yes	-
P16234	kinase	domain	active-like	-	7.8	yes	-
P16277	kinase	domain	active-like	-	7.9	no	-
P16591	kinase	domain	active-like	-	7.8	yes	-
P16879	kinase	domain	active-like	-	7.8	yes	-
P16892	kinase	domain	active-like	-	7.8	yes	-
P17157	kinase	domain	active-like	-	8.2	yes	-
P17948	kinase	domain	active-like	-	7.9	yes	-
P18431	kinase	domain	active-like	-	8.1	yes	-
P18475	kinase	domain	active-like	-	7.9	yes	-
P19454	kinase	domain	active-like	-	7.9	yes	-
P19525	kinase	domain	active-like	-	7.8	yes	-
P19784	kinase	domain	active-like	-	8.0	yes	-
P21709	kinase	domain	active-like	-	7.9	yes	-
P21802	kinase	domain	active-like	-	8.3	yes	-
P21803	kinase	domain	active-like	-	8.2	no	-
P21965	kinase	domain	active-like	-	8.2	yes	-
P22204	kinase	domain	active-like	-	8.8	yes	-
P22209	kinase	domain	active-like	-	7.6	yes	-
P22216	kinase	domain	active-like	-	7.9	yes	-
P22455	kinase	domain	active-like	-	7.9	yes	-
P22517	kinase	domain	active-like	-	7.9	yes	-
P22607	kinase	domain	active-like	-	8.0	yes	-
P22612	kinase	domain	active-like	-	7.9	no	-
P23572	kinase	domain	active-like	-	8.1	yes	-
P23573	kinase	domain	active-like	-	8.1	no	-
P24100	kinase	domain	active-like	-	7.7	yes	-
P24604	kinase	domain	active-like	-	7.9	no	-
P24719	kinase	domain	active-like	-	7.4	yes	-
P24941	kinase	domain	active-like	-	7.9	yes	-
P25390	kinase	domain	active-like	-	21.6	yes	-
P25859	kinase	domain	active-like	-	8.3	yes	-
P25911	kinase	domain	active-like	-	7.8	yes	-
P26618	kinase	domain	active-like	-	7.7	yes	-
P27037	kinase	domain	active-like	-	8.0	yes	-
P27038	kinase	domain	active-like	-	8.0	yes	-
P27040	kinase	domain	active-like	-	8.0	yes	-
P27361	kinase	domain	active-like	-	8.0	yes	-
P27466	kinase	domain	active-like	-	8.0	yes	-
P27636	kinase	domain	active-like	-	7.9	yes	-
P28482	kinase	domain	active-like	-	7.8	yes	-
P28652	kinase	domain	active-like	-	8.3	yes	-
P28708	kinase	domain	active-like	-	7.8	yes	-
P29295	kinase	domain	active-like	-	8.1	yes	-
P29317	kinase	domain	active-like	-	8.1	yes	-
P29319	kinase	domain	active-like	-	8.1	yes	-
P29320	kinase	domain	active-like	-	8.0	yes	-
P29323	kinase	domain	active-like	-	8.2	no	-
P29376	kinase	domain	active-like	-	8.5	yes	-
P30285	kinase	domain	active-like	-	7.8	yes	-
P30530	kinase	domain	active-like	-	10.7	yes	-
P31938	kinase	domain	active-like	-	7.4	yes	-
P32328	kinase	domain	active-like	-	9.5	yes	-
P32361	kinase	domain	active-like	-	8.2	yes	-
P32485	kinase	domain	active-like	-	7.9	yes	-
P32562	kinase	domain	active-like	-	8.1	yes	-
P34152	kinase	domain	active-like	-	8.5	yes	-
P35546	kinase	domain	active-like	-	7.9	yes	-
P35590	kinase	domain	active-like	-	11.2	no	-
P35916	kinase	domain	active-like	-	8.1	yes	-
P35917	kinase	domain	active-like	-	8.0	yes	-
P35918	kinase	domain	active-like	-	8.2	yes	-
P35968	kinase	domain	active-like	-	8.0	yes	-
P35969	kinase	domain	active-like	-	7.9	yes	-
P35991	kinase	domain	active-like	-	8.1	yes	-
P36507	kinase	domain	active-like	-	7.3	yes	-
P36888	kinase	domain	active-like	-	7.8	no	-
P36894	kinase	domain	active-like	-	8.0	yes	-
P36895	kinase	domain	active-like	-	8.0	yes	-
P36896	kinase	domain	active-like	-	8.0	yes	-
P36897	kinase	domain	active-like	-	8.0	yes	-
P36898	kinase	domain	active-like	-	8.0	yes	-
P37023	kinase	domain	active-like	-	8.1	yes	-
P37172	kinase	domain	active-like	-	8.0	yes	-
P37173	kinase	domain	active-like	-	8.1	yes	-
P38147	kinase	domain	active-like	-	7.8	yes	-
P38615	kinase	domain	active-like	-	8.1	yes	-
P38991	kinase	domain	active-like	-	8.2	yes	-
P39009	kinase	domain	active-like	-	7.7	yes	-
P39073	kinase	domain	active-like	-	8.3	yes	-
P39688	kinase	domain	active-like	-	7.8	yes	-
P40417	kinase	domain	active-like	-	7.9	yes	-
P41240	kinase	domain	active-like	-	7.9	yes	-
P41241	kinase	domain	active-like	-	8.0	no	-
P41242	kinase	domain	active-like	-	8.0	no	-
P41808	kinase	domain	active-like	-	7.7	yes	-
P42158	kinase	domain	active-like	-	8.3	no	-
P42679	kinase	domain	active-like	-	7.9	no	-
P42680	kinase	domain	active-like	-	7.9	yes	-
P42681	kinase	domain	active-like	-	8.0	yes	-
P42682	kinase	domain	active-like	-	7.9	no	-
P42685	kinase	domain	active-like	-	7.8	yes	-
P42818	kinase	domain	active-like	-	8.3	yes	-
P43288	kinase	domain	active-like	-	8.1	yes	-
P43289	kinase	domain	active-like	-	8.0	yes	-
P43291	kinase	domain	active-like	-	8.1	yes	-
P43292	kinase	domain	active-like	-	7.9	no	-
P43298	kinase	domain	active-like	-	8.1	yes	-
P43403	kinase	domain	active-like	-	7.6	yes	-
P43404	kinase	domain	active-like	-	7.4	yes	-
P43405	kinase	domain	active-like	-	7.4	yes	-
P43568	kinase	domain	active-like	-	7.8	yes	-
P45983	kinase	domain	active-like	-	8.6	yes	-
P45984	kinase	domain	active-like	-	8.1	yes	-
P45985	kinase	domain	active-like	-	7.7	no	-
P46734	kinase	domain	active-like	-	8.1	yes	-
P47735	kinase	domain	active-like	-	20.6	yes	-
P47809	kinase	domain	active-like	-	7.7	yes	-
P47811	kinase	domain	active-like	-	8.2	yes	-
P48025	kinase	domain	active-like	-	7.4	yes	-
P48609	kinase	domain	active-like	-	7.8	yes	-
P48729	kinase	domain	active-like	-	8.3	yes	-
P48730	kinase	domain	active-like	-	8.3	yes	-
P49071	kinase	domain	active-like	-	7.7	yes	-
P49137	kinase	domain	active-like	-	7.8	yes	-
P49138	kinase	domain	active-like	-	7.8	yes	-
P49615	kinase	domain	active-like	-	7.9	yes	-
P49674	kinase	domain	active-like	-	8.2	yes	-
P49840	kinase	domain	active-like	-	8.1	yes	-
P49841	kinase	domain	active-like	-	8.1	yes	-
P50613	kinase	domain	active-like	-	7.4	yes	-
P50750	kinase	domain	active-like	-	7.6	yes	-
P50873	kinase	domain	active-like	-	8.1	no	-
P51451	kinase	domain	active-like	-	7.9	yes	-
P51813	kinase	domain	active-like	-	8.0	yes	-
P51955	kinase	domain	active-like	-	7.8	yes	-
P52304	kinase	domain	active-like	-	8.1	yes	-
P52564	kinase	domain	active-like	-	8.0	yes	-
P53233	kinase	domain	active-like	-	8.2	yes	-
P53323	kinase	domain	active-like	-	7.9	yes	-
P53350	kinase	domain	active-like	-	8.1	yes	-
P53351	kinase	domain	active-like	-	8.1	yes	-
P53667	kinase	domain	active-like	-	7.9	yes	-
P53668	kinase	domain	active-like	-	7.9	no	-
P53671	kinase	domain	active-like	-	7.8	yes	-
P53778	kinase	domain	active-like	-	8.2	yes	-
P53779	kinase	domain	active-like	-	8.1	no	-
P54265	kinase	domain	active-like	-	8.1	yes	-
P54367	kinase	domain	active-like	-	8.1	yes	-
P54646	kinase	domain	active-like	-	8.6	yes	-
P54753	kinase	domain	active-like	-	8.2	yes	-
P54754	kinase	domain	active-like	-	8.2	no	-
P54756	kinase	domain	active-like	-	8.2	yes	-
P54760	kinase	domain	active-like	-	8.2	yes	-
P54761	kinase	domain	active-like	-	8.1	no	-
P54762	kinase	domain	active-like	-	8.1	yes	-
P54763	kinase	domain	active-like	-	8.0	yes	-
P54764	kinase	domain	active-like	-	8.0	yes	-
P55144	kinase	domain	active-like	-	10.7	no	-
P58750	kinase	domain	active-like	-	8.2	no	-
P58801	kinase	domain	active-like	-	26.1	yes	-
P63085	kinase	domain	active-like	-	8.0	yes	-
P68400	kinase	domain	active-like	-	8.0	yes	-
P70218	kinase	domain	active-like	-	7.8	yes	-
P70236	kinase	domain	active-like	-	8.1	yes	-
P70335	kinase	domain	active-like	-	8.7	no	-
P70336	kinase	domain	active-like	-	8.6	yes	-
P70424	kinase	domain	active-like	-	7.8	yes	-
P70451	kinase	domain	active-like	-	7.7	yes	-
P83100	kinase	domain	active-like	-	7.9	yes	-
P83101	kinase	domain	active-like	-	8.3	no	-
P92208	kinase	domain	active-like	-	8.1	yes	-
P92937	kinase	domain	active-like	-	8.1	no	-
P92958	kinase	domain	active-like	-	8.1	yes	-
P93050	kinase	domain	active-like	-	7.7	no	-
P93759	kinase	domain	active-like	-	8.2	no	-
P97343	kinase	domain	active-like	-	7.6	no	-
P97377	kinase	domain	active-like	-	8.2	yes	-
P97477	kinase	domain	active-like	-	8.1	yes	-
P97504	kinase	domain	active-like	-	7.9	no	-
Q00168	kinase	domain	active-like	-	8.2	yes	-
Q00342	kinase	domain	active-like	-	7.9	yes	-
Q00526	kinase	domain	active-like	-	7.9	no	-
Q00532	kinase	domain	active-like	-	7.7	no	-
Q00534	kinase	domain	active-like	-	7.7	yes	-
Q00535	kinase	domain	active-like	-	7.9	yes	-
Q00536	kinase	domain	active-like	-	7.9	yes	-
Q00772	kinase	domain	active-like	-	7.9	yes	-
Q00993	kinase	domain	active-like	-	10.7	no	-
Q01279	kinase	domain	active-like	-	7.6	yes	-
Q02750	kinase	domain	active-like	-	7.4	yes	-
Q02763	kinase	domain	active-like	-	10.5	yes	-
Q02858	kinase	domain	active-like	-	10.4	yes	-
Q03137	kinase	domain	active-like	-	8.2	yes	-
Q03142	kinase	domain	active-like	-	8.0	no	-
Q03145	kinase	domain	active-like	-	8.2	yes	-
Q03146	kinase	domain	active-like	-	8.1	no	-
Q03147	kinase	domain	active-like	-	7.4	yes	-
Q03526	kinase	domain	active-like	-	7.9	no	-
Q03957	kinase	domain	active-like	-	7.7	yes	-
Q03963	kinase	domain	active-like	-	7.9	yes	-
Q04735	kinase	domain	active-like	-	7.9	yes	-
Q04736	kinase	domain	active-like	-	7.7	yes	-
