accession	best_TM_PDB	best_TM_KB	best_TM_any	mean_pLDDT	n_interpro	hypothesis_tier
Q96ID5	0.739	0.684	0.739	76.6	6	HIGH
Q9VAJ6	0.739	0.677	0.739	80.0	1	HIGH
A1Z882	0.740	0.681	0.740	83.4	1	HIGH
A4D1U4	0.740	0.709	0.740	77.7	3	HIGH
Q4ABJ1	0.740	0.574	0.740	88.8	1	LOW
Q9VJU8	0.740	0.232	0.740	84.5	2	HIGH
A0A8V8TMC4	0.666	0.741	0.741	71.7	2	HIGH
Q9VEW3	0.530	0.741	0.741	78.3	1	MEDIUM
A0A0B4JDE2	0.743	0.000	0.743	76.8	1	-
A6NM10	0.743	0.690	0.743	80.0	5	HIGH
Q2MGM0	0.743	0.718	0.743	84.4	1	HIGH
Q9VFV0	0.744	0.595	0.744	71.4	2	HIGH
Q9VJM9	0.744	0.715	0.744	81.5	3	HIGH
Q9VAJ7	0.745	0.708	0.745	84.3	1	HIGH
Q9VUF9	0.745	0.000	0.745	82.6	1	HIGH
X2JDC2	0.745	0.619	0.745	81.5	1	HIGH
A8JNT1	0.332	0.746	0.746	86.2	1	HIGH
E1JIB1	0.746	0.414	0.746	76.4	1	-
M9PFU4	0.746	0.653	0.746	92.7	1	HIGH
Q9VME9	0.722	0.747	0.747	86.5	2	HIGH
Q8IRL8	0.748	0.748	0.748	81.5	1	HIGH
Q9W333	0.748	0.000	0.748	92.4	0	-
Q86VS3	0.750	0.604	0.750	78.0	2	-
Q96EX2	0.750	0.714	0.750	70.2	4	HIGH
Q9VA99	0.751	0.696	0.751	86.5	3	HIGH
P38430	0.753	0.414	0.753	93.2	4	HIGH
Q5JSQ8	0.753	0.572	0.753	87.7	2	HIGH
A6H8M9	0.754	0.453	0.754	78.6	4	HIGH
E1JIZ7	0.754	0.696	0.754	71.1	0	LOW
Q2MGL5	0.754	0.537	0.754	93.8	1	-
Q9VYJ1	0.754	0.741	0.754	86.7	5	HIGH
Q9W495	0.755	0.679	0.755	85.7	3	HIGH
P23060	0.757	0.707	0.757	92.3	3	HIGH
Q4ABI0	0.757	0.574	0.757	86.4	2	LOW
Q4ABI4	0.757	0.536	0.757	94.6	1	LOW
Q9W588	0.332	0.757	0.757	87.7	1	HIGH
Q2PDX2	0.649	0.758	0.758	76.3	1	HIGH
Q8INQ8	0.758	0.000	0.758	88.6	2	-
Q9VH28	0.758	0.711	0.758	84.0	2	HIGH
Q9W1Y4	0.758	0.718	0.758	85.4	3	HIGH
Q0KIA2	0.759	0.602	0.759	70.5	3	HIGH
Q8IN58	0.706	0.759	0.759	76.7	1	HIGH
A0A0B4JCU2	0.760	0.000	0.760	89.1	0	-
A1Z6U8	0.631	0.762	0.762	92.5	2	HIGH
Q8INM8	0.762	0.000	0.762	77.5	1	-
Q9H720	0.728	0.762	0.762	91.3	5	HIGH
Q9W4D1	0.762	0.551	0.762	79.5	4	HIGH
Q9VMC4	0.568	0.763	0.763	88.4	3	HIGH
Q9VQ86	0.760	0.763	0.763	79.6	4	HIGH
Q9W057	0.763	0.000	0.763	73.6	1	HIGH
A8JPJ8	0.656	0.764	0.764	89.6	2	HIGH
Q9VEJ2	0.764	0.682	0.764	74.9	1	HIGH
Q9W2B5	0.586	0.764	0.764	75.6	1	HIGH
O76896	0.700	0.765	0.765	77.7	3	HIGH
Q8IN23	0.765	0.753	0.765	77.1	1	HIGH
P25370	0.760	0.767	0.767	81.5	4	HIGH
Q4AB23	0.767	0.554	0.767	88.7	1	-
Q9VIU8	0.767	0.746	0.767	78.3	6	HIGH
Q9VK72	0.767	0.765	0.767	90.5	5	HIGH
Q9VQG1	0.768	0.711	0.768	85.3	3	HIGH
Q12529	0.769	0.721	0.769	93.7	3	HIGH
Q5VW38	0.601	0.769	0.769	70.5	2	HIGH
Q7KVW2	0.769	0.656	0.769	83.5	4	HIGH
Q8IMY8	0.617	0.769	0.769	86.8	1	HIGH
F2Z333	0.770	0.398	0.770	76.5	1	-
Q9VJ64	0.770	0.402	0.770	74.6	4	HIGH
Q9VR96	0.770	0.643	0.770	82.8	2	HIGH
Q8IUF1	0.771	0.501	0.771	75.1	5	HIGH
Q9V4B8	0.771	0.681	0.771	73.8	8	HIGH
Q9VME6	0.752	0.771	0.771	89.5	5	HIGH
Q9VZF3	0.736	0.771	0.771	90.4	2	HIGH
Q9VLH5	0.772	0.745	0.772	80.6	0	-
Q9VZE7	0.772	0.759	0.772	79.7	1	HIGH
Q9W3P4	0.772	0.680	0.772	83.0	2	HIGH
Q9W461	0.347	0.772	0.772	81.6	1	LOW
Q4ABG0	0.773	0.575	0.773	87.5	1	-
Q9VT02	0.773	0.000	0.773	87.1	3	HIGH
Q9W200	0.639	0.773	0.773	73.6	4	HIGH
Q4V339	0.774	0.479	0.774	75.5	5	HIGH
Q9VAU9	0.692	0.774	0.774	76.0	1	HIGH
A0A0B4JD85	0.775	0.000	0.775	85.1	0	-
A6NI56	0.776	0.000	0.776	76.4	1	-
Q9VAL1	0.541	0.776	0.776	88.4	2	LOW
Q9VEU0	0.740	0.776	0.776	77.5	1	HIGH
Q7PLW4	0.700	0.777	0.777	74.4	3	HIGH
Q9W397	0.777	0.712	0.777	87.1	5	HIGH
A1Z8H4	0.622	0.778	0.778	87.6	3	HIGH
A1Z8X9	0.778	0.703	0.778	91.2	5	HIGH
A8JR34	0.778	0.700	0.778	90.1	2	HIGH
Q6IGM3	0.778	0.677	0.778	71.6	0	-
Q9VRI8	0.701	0.778	0.778	86.7	1	HIGH
B7Z0Y1	0.779	0.661	0.779	85.9	1	HIGH
O13585	0.779	0.595	0.779	73.9	4	HIGH
Q9VYY5	0.779	0.600	0.779	74.0	2	HIGH
A0A0B4KFC9	0.780	0.681	0.780	93.4	5	HIGH
E1JH07	0.780	0.000	0.780	79.9	2	HIGH
Q9VQS2	0.780	0.618	0.780	76.9	7	HIGH
Q52LC2	0.723	0.781	0.781	74.3	3	HIGH
Q9VA79	0.781	0.667	0.781	74.6	6	HIGH
Q9VAP3	0.781	0.707	0.781	80.5	1	HIGH
Q9VZ05	0.658	0.781	0.781	90.7	1	HIGH
Q9VZT6	0.781	0.000	0.781	84.9	2	HIGH
O46040	0.782	0.763	0.782	88.1	3	HIGH
Q9VCA1	0.782	0.768	0.782	88.3	3	HIGH
Q9VEB2	0.782	0.496	0.782	79.6	2	HIGH
Q9VMH7	0.696	0.782	0.782	89.5	3	HIGH
Q4AB20	0.783	0.536	0.783	91.9	1	-
Q6UXV1	0.785	0.784	0.785	86.6	2	MEDIUM
A0A1B0GVZ9	0.786	0.000	0.786	82.5	0	-
P0DTL4	0.786	0.614	0.786	77.7	4	HIGH
Q8IQG0	0.786	0.000	0.786	71.3	1	-
Q8N815	0.786	0.686	0.786	84.6	2	HIGH
Q9VVP2	0.786	0.772	0.786	88.4	8	HIGH
Q4AB36	0.787	0.637	0.787	90.7	1	LOW
Q8IRE4	0.771	0.787	0.787	89.7	5	HIGH
Q9VI64	0.732	0.787	0.787	95.2	1	HIGH
E2QCS3	0.788	0.753	0.788	77.3	6	HIGH
Q06821	0.773	0.788	0.788	70.6	1	HIGH
Q96FB5	0.788	0.524	0.788	91.3	4	HIGH
Q9VED4	0.525	0.788	0.788	83.6	1	HIGH
A6NFF2	0.789	0.744	0.789	80.5	2	HIGH
Q5LJP9	0.780	0.789	0.789	94.1	4	HIGH
Q9VFJ1	0.789	0.559	0.789	85.7	1	MEDIUM
A1Z8H1	0.622	0.790	0.790	84.1	3	HIGH
P0CF17	0.485	0.790	0.790	86.3	4	HIGH
Q8NE28	0.790	0.770	0.790	82.0	3	HIGH
Q8TDU5	0.756	0.790	0.790	83.4	2	HIGH
Q9VT95	0.790	0.757	0.790	85.1	1	HIGH
Q0E9B1	0.791	0.622	0.791	93.7	1	LOW
Q6P3X8	0.674	0.791	0.791	82.9	2	LOW
Q8IMQ6	0.749	0.792	0.792	86.8	1	HIGH
Q9VE94	0.793	0.000	0.793	73.5	1	HIGH
Q0D2K5	0.794	0.685	0.794	75.8	1	HIGH
Q8TE82	0.794	0.525	0.794	76.9	5	HIGH
Q5VVC0	0.795	0.716	0.795	86.0	1	HIGH
Q8IQB0	0.795	0.236	0.795	86.7	1	HIGH
Q9VYZ2	0.765	0.795	0.795	76.9	1	HIGH
Q2MGK1	0.797	0.530	0.797	90.3	1	-
Q8IMH8	0.797	0.689	0.797	89.9	2	HIGH
Q9I7Q5	0.621	0.797	0.797	88.6	3	HIGH
Q9VR47	0.797	0.776	0.797	77.7	2	HIGH
A0A0U1RRI6	0.798	0.566	0.798	72.3	3	HIGH
P0DPI3	0.798	0.523	0.798	71.4	3	HIGH
Q8MRQ4	0.418	0.798	0.798	75.8	2	HIGH
Q9NFP1	0.785	0.798	0.798	88.5	5	HIGH
A0A0B4LHE9	0.799	0.000	0.799	83.4	0	-
Q0KI97	0.332	0.799	0.799	86.6	1	LOW
Q8NE00	0.789	0.799	0.799	81.0	1	HIGH
A1Z8Z6	0.800	0.640	0.800	87.3	1	LOW
Q8INM9	0.789	0.800	0.800	80.1	1	HIGH
Q9VH96	0.800	0.799	0.800	89.5	5	HIGH
Q9VHL4	0.800	0.676	0.800	81.7	1	HIGH
Q9VPF8	0.781	0.800	0.800	80.8	1	HIGH
Q9VT97	0.800	0.782	0.800	76.7	3	HIGH
Q9VTH3	0.800	0.613	0.800	81.0	2	HIGH
A1Z910	0.801	0.790	0.801	88.2	4	HIGH
Q658N2	0.801	0.671	0.801	77.4	4	HIGH
Q8INZ7	0.624	0.801	0.801	87.5	1	HIGH
Q9N2Q3	0.801	0.652	0.801	87.4	5	HIGH
Q9VJ34	0.801	0.686	0.801	91.1	3	HIGH
Q9VM79	0.769	0.801	0.801	87.2	0	MEDIUM
A0A0S0WGR0	0.307	0.802	0.802	75.2	1	HIGH
Q17R55	0.784	0.802	0.802	86.4	3	HIGH
Q8IMZ5	0.741	0.802	0.802	87.5	1	HIGH
Q9VAU6	0.499	0.802	0.802	80.0	1	LOW
Q9VRJ7	0.802	0.421	0.802	72.2	3	HIGH
Q9VU31	0.802	0.801	0.802	85.4	3	HIGH
Q9VY79	0.802	0.777	0.802	78.0	3	HIGH
Q8INF8	0.793	0.803	0.803	80.7	2	HIGH
Q8NBV4	0.803	0.783	0.803	80.0	2	HIGH
X2JB52	0.803	0.683	0.803	90.0	6	HIGH
A1Z7W3	0.720	0.804	0.804	90.6	2	HIGH
Q8I0P8	0.609	0.804	0.804	87.8	3	HIGH
Q8IPD6	0.804	0.607	0.804	78.8	2	LOW
O95473	0.805	0.804	0.805	77.2	2	HIGH
A1Z8Z5	0.806	0.532	0.806	91.2	1	LOW
Q5GH77	0.806	0.726	0.806	76.9	2	HIGH
Q5UAW9	0.766	0.806	0.806	81.4	4	HIGH
Q8IMI4	0.806	0.766	0.806	82.7	2	HIGH
Q9VUY2	0.805	0.806	0.806	84.1	4	HIGH
A1Z9S4	0.807	0.000	0.807	84.8	0	-
Q9VCV7	0.718	0.807	0.807	84.8	4	HIGH
Q9VIV3	0.748	0.808	0.808	87.8	2	HIGH
Q9VP86	0.808	0.807	0.808	93.2	3	HIGH
O77259	0.809	0.000	0.809	84.0	1	-
Q4ABJ8	0.809	0.654	0.809	88.3	1	-
Q8IN22	0.787	0.809	0.809	80.1	1	HIGH
Q9H4D0	0.809	0.700	0.809	78.9	5	HIGH
Q9VU30	0.809	0.768	0.809	81.9	2	HIGH
A1Z9Y5	0.741	0.810	0.810	85.1	1	HIGH
Q8IQ72	0.706	0.810	0.810	80.8	1	HIGH
Q9VMW8	0.769	0.810	0.810	87.5	2	MEDIUM
Q9VR48	0.810	0.717	0.810	76.9	2	HIGH
Q9VRG8	0.749	0.810	0.810	74.8	6	HIGH
A0A0B4J280	0.811	0.759	0.811	84.3	5	HIGH
Q9VBM3	0.000	0.811	0.811	84.6	1	LOW
Q9VUM3	0.757	0.811	0.811	81.5	3	HIGH
Q9W452	0.811	0.791	0.811	80.4	2	HIGH
Q8IQC1	0.574	0.812	0.812	82.9	1	HIGH
Q8IWD5	0.812	0.701	0.812	74.2	3	HIGH
Q9I7L0	0.812	0.780	0.812	81.8	5	HIGH
Q9W288	0.812	0.783	0.812	81.7	3	HIGH
P39542	0.789	0.813	0.813	82.0	2	HIGH
Q6ZNF0	0.813	0.704	0.813	93.8	6	HIGH
Q9VBC2	0.813	0.000	0.813	89.8	1	HIGH
Q9VS14	0.474	0.813	0.813	85.8	3	HIGH
A0A0B4JCY7	0.814	0.000	0.814	85.5	1	-
Q6NXP6	0.814	0.666	0.814	86.7	2	HIGH
Q9VG64	0.769	0.814	0.814	89.4	3	HIGH
A1Z777	0.815	0.796	0.815	80.5	4	HIGH
A1ZAY9	0.721	0.815	0.815	85.6	1	HIGH
Q86BK9	0.815	0.772	0.815	88.9	1	HIGH
B4DZS4	0.240	0.816	0.816	80.5	1	LOW
Q06199	0.816	0.810	0.816	81.7	2	HIGH
Q9VX50	0.816	0.000	0.816	80.7	0	-
Q9W155	0.788	0.816	0.816	86.8	1	HIGH
Q6ZW05	0.795	0.817	0.817	82.3	3	HIGH
Q9VP89	0.778	0.817	0.817	93.1	0	-
Q9W3I7	0.817	0.423	0.817	72.9	1	-
Q9W3P2	0.817	0.678	0.817	84.1	4	HIGH
A8JR33	0.818	0.000	0.818	87.9	2	HIGH
O76912	0.818	0.221	0.818	76.6	4	HIGH
A0A0B4KHM5	0.819	0.811	0.819	86.8	3	HIGH
A0A0B4LFG2	0.819	0.555	0.819	91.1	2	HIGH
O46079	0.819	0.675	0.819	89.5	2	HIGH
Q6DCA0	0.812	0.819	0.819	74.0	4	MEDIUM
Q9VA43	0.819	0.765	0.819	83.3	1	HIGH
Q9VZ24	0.819	0.000	0.819	88.6	0	-
Q9W089	0.819	0.696	0.819	86.0	4	HIGH
A0A0B4K8B1	0.820	0.818	0.820	89.4	3	HIGH
Q30KQ1	0.820	0.000	0.820	71.7	1	HIGH
Q59DW1	0.820	0.000	0.820	89.8	1	HIGH
Q5R387	0.820	0.790	0.820	72.1	4	HIGH
Q9VJK5	0.820	0.804	0.820	86.9	5	HIGH
B7Z092	0.821	0.700	0.821	71.9	3	MEDIUM
Q6Q6R5	0.821	0.452	0.821	74.4	1	HIGH
Q7KV71	0.527	0.821	0.821	83.6	3	HIGH
Q8IN51	0.821	0.810	0.821	84.7	5	HIGH
Q9VMD2	0.821	0.702	0.821	70.4	3	HIGH
Q9W0Z4	0.807	0.821	0.821	78.7	5	HIGH
Q9VHB4	0.815	0.822	0.822	80.2	4	HIGH
Q9VT67	0.822	0.643	0.822	90.2	5	HIGH
Q8N806	0.823	0.000	0.823	75.4	7	HIGH
Q9VSD8	0.823	0.760	0.823	93.4	3	HIGH
Q7JZV0	0.507	0.824	0.824	92.9	3	HIGH
Q8NFQ6	0.824	0.809	0.824	82.9	6	HIGH
A8MXT2	0.825	0.473	0.825	73.8	5	HIGH
Q8MLR6	0.633	0.825	0.825	82.6	1	HIGH
Q9VD81	0.825	0.705	0.825	85.6	4	HIGH
A6NC97	0.750	0.826	0.826	85.3	2	LOW
Q0KI22	0.382	0.826	0.826	86.1	1	LOW
Q5T5M9	0.826	0.761	0.826	72.7	5	HIGH
Q7Z5M8	0.805	0.826	0.826	87.8	2	HIGH
Q9VQ02	0.826	0.793	0.826	82.3	5	HIGH
Q9VQQ4	0.826	0.000	0.826	72.1	0	-
P38157	0.732	0.828	0.828	83.6	5	HIGH
Q8WZ79	0.828	0.000	0.828	90.9	1	HIGH
Q9VI00	0.828	0.718	0.828	82.5	5	HIGH
Q9W1V0	0.785	0.828	0.828	85.5	1	HIGH
Q9W372	0.828	0.000	0.828	86.8	2	HIGH
D6RBM5	0.829	0.796	0.829	72.0	5	HIGH
Q9VHZ9	0.829	0.701	0.829	72.0	5	HIGH
Q9VZM6	0.346	0.829	0.829	75.0	1	HIGH
Q9W0R5	0.829	0.780	0.829	76.8	6	HIGH
P60153	0.830	0.696	0.830	80.8	3	HIGH
Q8IQ06	0.830	0.000	0.830	84.3	2	HIGH
Q9I7I1	0.830	0.800	0.830	78.5	7	HIGH
Q9VR30	0.830	0.798	0.830	82.4	4	HIGH
M9MRW9	0.831	0.000	0.831	85.7	0	-
Q9W438	0.831	0.720	0.831	92.0	3	HIGH
A1Z8H5	0.591	0.832	0.832	80.4	2	HIGH
A2RUU4	0.832	0.000	0.832	78.9	1	HIGH
A8Y5A2	0.786	0.832	0.832	82.4	3	HIGH
Q9VHZ8	0.832	0.656	0.832	78.1	4	HIGH
Q9VUX8	0.832	0.000	0.832	73.0	1	HIGH
Q9W4Z5	0.832	0.582	0.832	73.1	3	MEDIUM
V9H0I1	0.832	0.788	0.832	77.9	6	HIGH
Q05530	0.833	0.691	0.833	89.0	3	HIGH
Q8IQE0	0.829	0.833	0.833	80.5	2	HIGH
Q9VE56	0.566	0.833	0.833	82.2	3	HIGH
Q9VZ26	0.833	0.000	0.833	86.5	2	-
Q9W0X9	0.735	0.833	0.833	84.5	1	HIGH
A8MPS7	0.834	0.000	0.834	91.9	2	HIGH
B7Z095	0.834	0.667	0.834	78.9	3	-
C0HL65	0.565	0.834	0.834	93.2	3	HIGH
A0A0B4JCY9	0.835	0.000	0.835	76.5	0	-
P43617	0.820	0.835	0.835	80.8	4	HIGH
Q8INQ7	0.535	0.835	0.835	77.3	1	LOW
Q8MLL3	0.835	0.829	0.835	72.6	3	HIGH
Q9VS12	0.478	0.836	0.836	89.5	3	HIGH
A8DZ15	0.837	0.807	0.837	78.0	3	HIGH
Q9VCM4	0.727	0.837	0.837	85.9	1	HIGH
Q9VIG1	0.837	0.796	0.837	74.9	7	HIGH
Q9VMA0	0.837	0.515	0.837	92.1	4	HIGH
Q9W466	0.837	0.534	0.837	71.8	1	-
A1ZAL1	0.838	0.000	0.838	88.4	2	HIGH
B7YZQ4	0.709	0.838	0.838	86.9	1	HIGH
E1JHS7	0.838	0.821	0.838	90.6	1	HIGH
Q8N6M6	0.836	0.838	0.838	82.9	7	HIGH
Q9VGB2	0.838	0.810	0.838	85.0	7	HIGH
Q9W106	0.838	0.746	0.838	87.2	2	HIGH
A0A0B4LIF8	0.839	0.000	0.839	92.0	1	-
Q6PP77	0.839	0.753	0.839	80.9	2	HIGH
Q6ZRR5	0.801	0.839	0.839	94.7	2	HIGH
Q9I7K4	0.839	0.723	0.839	85.7	2	HIGH
Q9VCF0	0.839	0.794	0.839	84.9	4	MEDIUM
Q9VTI0	0.839	0.540	0.839	88.7	2	HIGH
Q9VVK2	0.839	0.833	0.839	93.8	3	HIGH
A0A0B4K7P3	0.840	0.739	0.840	80.8	3	HIGH
M9NFC6	0.840	0.000	0.840	76.2	0	-
Q0E8E1	0.840	0.797	0.840	84.9	2	HIGH
Q7KSA2	0.840	0.000	0.840	75.7	2	HIGH
Q7KVU5	0.828	0.840	0.840	84.0	4	HIGH
Q8IP85	0.840	0.746	0.840	74.0	3	HIGH
Q9VCK2	0.793	0.840	0.840	92.1	1	HIGH
Q9VM60	0.722	0.840	0.840	84.7	1	LOW
A0A1B0GWK0	0.782	0.841	0.841	77.6	4	HIGH
A8JQV1	0.835	0.841	0.841	83.8	5	HIGH
Q9VH80	0.841	0.686	0.841	78.4	6	HIGH
Q9VMN1	0.841	0.393	0.841	83.3	0	-
C0HL64	0.550	0.842	0.842	93.5	3	HIGH
P58952	0.821	0.842	0.842	86.3	1	HIGH
Q4ABI6	0.842	0.560	0.842	89.1	1	-
Q5VVW2	0.842	0.741	0.842	73.1	4	HIGH
Q9VME2	0.839	0.842	0.842	91.0	5	HIGH
A1Z9S8	0.843	0.730	0.843	88.2	6	HIGH
Q04898	0.843	0.000	0.843	93.2	2	LOW
Q9VAJ0	0.388	0.843	0.843	85.1	1	HIGH
Q9VKG0	0.843	0.494	0.843	79.6	3	HIGH
A6NMZ2	0.844	0.000	0.844	81.2	3	HIGH
Q9VVV2	0.475	0.844	0.844	82.6	1	MEDIUM
O46100	0.845	0.837	0.845	70.6	2	HIGH
Q9VGW0	0.845	0.827	0.845	88.1	5	HIGH
Q9VPE0	0.845	0.838	0.845	77.3	4	HIGH
A8QI13	0.846	0.826	0.846	77.7	5	HIGH
M9MS27	0.846	0.833	0.846	87.9	2	HIGH
Q49AG3	0.623	0.846	0.846	81.4	2	HIGH
Q9VEW7	0.837	0.846	0.846	86.6	2	HIGH
Q9VIY0	0.846	0.772	0.846	86.0	3	HIGH
Q9VQ51	0.846	0.779	0.846	71.9	1	HIGH
Q9VXG0	0.846	0.814	0.846	90.8	1	HIGH
A1Z824	0.847	0.836	0.847	81.3	6	HIGH
Q0E9N4	0.847	0.768	0.847	80.0	3	HIGH
Q2MGL9	0.839	0.847	0.847	91.2	5	HIGH
Q9VB45	0.847	0.000	0.847	74.2	2	HIGH
Q9VJ71	0.820	0.847	0.847	83.5	4	HIGH
A8JNG6	0.848	0.000	0.848	71.8	3	HIGH
Q8N8M0	0.848	0.815	0.848	87.5	3	HIGH
Q9NSJ1	0.848	0.538	0.848	73.2	3	HIGH
Q9VGG6	0.848	0.000	0.848	86.1	1	-
Q9VQY5	0.835	0.848	0.848	86.3	3	HIGH
Q07379	0.849	0.728	0.849	93.7	2	HIGH
Q9VWR8	0.833	0.849	0.849	76.4	2	HIGH
Q86BM2	0.753	0.850	0.850	88.0	0	-
Q9VRT6	0.850	0.644	0.850	82.4	3	MEDIUM
Q9VSZ4	0.850	0.000	0.850	94.8	2	-
Q86B82	0.851	0.564	0.851	91.1	4	HIGH
Q9VM07	0.851	0.846	0.851	93.1	4	HIGH
Q9VQ34	0.851	0.723	0.851	75.6	2	HIGH
Q9VQU3	0.826	0.851	0.851	84.3	8	HIGH
Q9VVV8	0.746	0.851	0.851	94.2	4	HIGH
A0A494C1R9	0.852	0.687	0.852	71.8	2	HIGH
Q7KTF1	0.852	0.624	0.852	90.5	1	HIGH
Q96MI9	0.852	0.795	0.852	78.3	6	HIGH
Q9VEW9	0.849	0.852	0.852	88.0	2	HIGH
Q9VLL0	0.831	0.852	0.852	85.3	9	HIGH
Q7Z402	0.767	0.853	0.853	77.4	2	HIGH
Q8MLS3	0.464	0.853	0.853	85.6	1	MEDIUM
Q9VXF5	0.853	0.803	0.853	84.0	3	HIGH
Q9VXK3	0.853	0.723	0.853	71.5	3	HIGH
Q969T3	0.854	0.760	0.854	75.4	4	HIGH
Q9H7M6	0.471	0.854	0.854	84.0	3	HIGH
Q9VEW8	0.824	0.854	0.854	86.9	2	HIGH
Q9VJ99	0.854	0.751	0.854	92.3	3	HIGH
Q9VNT8	0.607	0.854	0.854	88.8	3	HIGH
Q9VTR2	0.854	0.225	0.854	78.2	3	HIGH
Q9VWJ9	0.854	0.846	0.854	91.7	2	HIGH
A1ZB07	0.855	0.796	0.855	77.2	3	HIGH
Q9VDF7	0.855	0.796	0.855	90.3	2	-
Q9VYA7	0.855	0.742	0.855	72.7	5	HIGH
A0A0A0MS01	0.856	0.843	0.856	88.1	5	HIGH
A1ZBX4	0.856	0.822	0.856	84.6	5	HIGH
A8MTL0	0.856	0.790	0.856	92.9	2	HIGH
P0CF20	0.694	0.856	0.856	79.2	1	HIGH
P0CV99	0.856	0.724	0.856	71.7	2	HIGH
Q03648	0.856	0.800	0.856	89.9	3	HIGH
Q7KSM4	0.856	0.634	0.856	74.6	1	HIGH
Q9VAR2	0.856	0.557	0.856	89.5	1	-
Q9VCZ2	0.857	0.518	0.857	76.2	4	HIGH
Q9VFV1	0.857	0.840	0.857	78.7	2	HIGH
Q9VID1	0.823	0.857	0.857	90.4	3	HIGH
Q9VKA2	0.857	0.000	0.857	77.6	0	-
Q9VN16	0.807	0.857	0.857	82.7	4	HIGH
Q9VP55	0.614	0.857	0.857	88.2	3	HIGH
Q9W376	0.857	0.815	0.857	88.3	3	HIGH
A1Z803	0.858	0.811	0.858	91.2	3	HIGH
E1JIC1	0.858	0.000	0.858	73.6	2	HIGH
Q9BQP9	0.858	0.632	0.858	75.0	3	HIGH
Q9VV99	0.858	0.829	0.858	80.3	7	HIGH
Q9W028	0.829	0.858	0.858	90.9	2	HIGH
A8JRE8	0.830	0.859	0.859	84.9	3	HIGH
Q5JW98	0.859	0.833	0.859	74.5	1	HIGH
Q6ZTZ1	0.859	0.000	0.859	71.3	2	-
Q9BYG7	0.859	0.848	0.859	79.5	4	HIGH
Q9VVN1	0.814	0.859	0.859	72.9	0	-
A0A0B4LHK8	0.783	0.860	0.860	75.4	2	HIGH
P58960	0.820	0.860	0.860	84.3	1	HIGH
P83097	0.860	0.840	0.860	76.9	9	HIGH
Q4L235	0.853	0.860	0.860	81.1	12	HIGH
Q9BXY5	0.860	0.342	0.860	70.0	4	HIGH
Q9H3V2	0.860	0.709	0.860	76.0	2	HIGH
Q9VWD8	0.860	0.826	0.860	79.6	5	HIGH
Q9W3X3	0.847	0.860	0.860	92.9	4	HIGH
X2JLD3	0.860	0.000	0.860	75.4	0	-
A1ZAR6	0.861	0.773	0.861	92.2	5	HIGH
A6ND91	0.861	0.535	0.861	93.7	4	HIGH
A6NE02	0.861	0.752	0.861	84.7	5	HIGH
Q5U4P2	0.861	0.720	0.861	74.3	3	-
Q92771	0.861	0.781	0.861	76.2	7	HIGH
Q9VKZ1	0.861	0.770	0.861	81.3	4	HIGH
Q9VMQ2	0.861	0.487	0.861	82.7	1	HIGH
Q9VMS7	0.856	0.861	0.861	91.9	5	HIGH
P58961	0.862	0.843	0.862	87.4	0	-
Q8N468	0.862	0.811	0.862	77.2	2	HIGH
Q9VLY5	0.862	0.838	0.862	85.4	2	HIGH
Q9VMJ1	0.862	0.605	0.862	84.7	6	HIGH
A0A0B4K6L9	0.863	0.000	0.863	75.6	1	-
Q8WZ33	0.863	0.000	0.863	78.6	2	HIGH
Q9VBV4	0.863	0.820	0.863	90.1	2	LOW
Q9VCW3	0.863	0.582	0.863	78.2	3	HIGH
Q9VL33	0.863	0.840	0.863	80.9	4	HIGH
Q9VLF6	0.863	0.789	0.863	93.7	2	HIGH
Q9VTC7	0.477	0.863	0.863	85.3	3	HIGH
Q8NG35	0.864	0.000	0.864	71.0	1	HIGH
Q9VAQ9	0.840	0.864	0.864	91.7	2	HIGH
Q9VHN3	0.492	0.864	0.864	87.3	2	HIGH
Q9VRV2	0.864	0.763	0.864	84.1	15	HIGH
Q9VW14	0.864	0.773	0.864	80.8	7	HIGH
Q9VZN6	0.821	0.864	0.864	88.5	4	HIGH
A0A126GV02	0.865	0.000	0.865	87.9	1	-
Q9BXU1	0.865	0.854	0.865	76.7	6	HIGH
Q9VYQ5	0.865	0.865	0.865	89.6	5	HIGH
A1Z6G9	0.657	0.866	0.866	79.4	2	HIGH
A6NFE3	0.866	0.000	0.866	83.5	5	HIGH
Q9VHA5	0.866	0.792	0.866	89.5	2	HIGH
Q9VS78	0.856	0.866	0.866	92.4	3	HIGH
Q9VXQ1	0.866	0.679	0.866	76.6	4	HIGH
Q08361	0.867	0.000	0.867	89.8	3	HIGH
Q6JVE9	0.867	0.733	0.867	80.0	3	HIGH
Q9VLV6	0.849	0.867	0.867	86.3	5	HIGH
Q9W1N5	0.867	0.866	0.867	86.3	1	HIGH
A8MXK1	0.868	0.851	0.868	88.2	5	HIGH
M9NFL7	0.807	0.868	0.868	78.5	3	HIGH
Q8IMH9	0.868	0.855	0.868	73.4	3	HIGH
Q9VKN4	0.289	0.868	0.868	82.0	1	HIGH
Q9VT82	0.868	0.865	0.868	91.7	3	HIGH
M9NE98	0.869	0.864	0.869	82.5	4	HIGH
Q5T2N8	0.869	0.827	0.869	83.7	4	HIGH
Q8MMD0	0.491	0.869	0.869	79.7	1	HIGH
Q9I7T3	0.869	0.821	0.869	85.7	2	HIGH
Q9VCU2	0.811	0.869	0.869	85.9	5	HIGH
