protein_a	protein_b	template_pdb	min_TM	involves_dark
P59998	Q92747	6dec	0.984	0
P61082	Q8C878	1y8x	0.984	0
P61514	P62843	7oyc	0.984	0
P61841	Q9XJ27	7nhn	0.984	0
P62305	P62307	3jb9	0.984	1
P62307	Q62189	3jb9	0.984	1
P62307	Q922V4	3jb9	0.984	1
P62307	Q9CQI7	3jb9	0.984	1
P82921	Q7Z2W9	7nqh	0.984	0
P82921	Q9NP92	6vmi	0.984	0
P83870	Q8BHS3	8i0r	0.984	1
P93014	Q9XJ27	7nhn	0.984	0
Q02260	Q04693	6g90	0.984	0
Q08112	Q9LYK9	7oyc	0.984	0
Q08770	Q9LYK9	7oyc	0.984	0
Q08770	Q9M3D2	8q7z	0.984	0
Q42064	Q9M060	4v8p	0.984	0
Q5T653	Q7Z2W9	7nqh	0.984	0
Q7Z2W9	Q8N5N7	7nqh	0.984	0
Q7Z2W9	Q9BYD3	7nqh	0.984	0
Q7Z2W9	Q9NRX2	7nqh	0.984	0
Q7Z2W9	Q9NYK5	7nqh	0.984	0
Q7Z2W9	Q9NZE8	7nqh	0.984	0
Q8K3J1	Q9DCJ5	5gpn	0.984	0
Q8L8W6	Q9M3D2	8a3d	0.984	0
Q8LBI1	Q9M3D2	8a3d	0.984	0
Q8LD46	Q9SF53	9axt	0.984	0
Q93VT9	Q9LYK9	7oyc	0.984	0
Q93VT9	Q9M3D2	8a3d	0.984	0
Q93W22	Q9LYK9	7oyc	0.984	0
Q93W22	Q9M3D2	8q7z	0.984	0
Q9CQ54	Q9DCJ5	5gpn	0.984	0
Q9CQZ5	Q9DCJ5	5gpn	0.984	0
Q9CXZ1	Q9DCJ5	5gpn	0.984	0
Q9DC70	Q9DCJ5	5gpn	0.984	0
Q9DCJ5	Q9DCT2	5gpn	0.984	0
Q9FF90	Q9LYK9	7oyc	0.984	0
Q9FIX6	Q9LYK9	7oyc	0.984	0
Q9FY64	Q9LYK9	7oyc	0.984	0
Q9FY65	Q9LYK9	7oyc	0.984	0
Q9FY66	Q9LYK9	7oyc	0.984	0
Q9H6R4	Q9Y2P8	7mqa	0.984	0
Q9VR00	Q9VVF0	6ztq	0.984	0
B2RSH2	Q9QZB1	2ihb	0.984	0
F4I9J7	Q8RUH0	7a5p	0.984	0
O00338	O75897	1g3m	0.984	0
O14561	P00156	8pw6	0.984	0
O14561	P00395	8pw6	0.984	0
O14561	P14927	8pw6	0.984	0
O14561	P20674	8pw6	0.984	0
O14561	Q16718	8pw6	0.984	0
O22860	Q8L953	6zj3	0.984	0
O22922	Q39190	3jb9	0.984	0
O23290	Q93VI3	9axv	0.984	0
O60200	Q05776	5jqm	0.984	0
O60656	P19224	2o6l	0.984	0
O61231	P32100	9cai	0.984	0
O61231	Q9VBN5	9cai	0.984	0
O70443	Q9QZB1	2ihb	0.984	0
O70571	Q8BKZ9	3crk	0.984	0
O70571	Q8BMF4	3crk	0.984	0
P01569	P01570	3s9d	0.984	0
P02358	P61175	8rdw	0.984	0
P05213	Q7TMM9	6wvm	0.984	0
P05214	Q7TMM9	6wvm	0.984	0
P05750	P39516	5xxu	0.984	0
P08574	Q9UDW1	8uge	0.984	0
P08752	Q9QZB1	2ihb	0.984	0
P0A7K6	P61175	8rdw	0.984	0
P0A7L3	P0A7L8	8whx	0.984	0
P0A7L3	P61175	8rdw	0.984	0
P0A7R1	P61175	8rdw	0.984	0
P0A7S3	P61175	8rdw	0.984	0
P0A7U3	P61175	8rdw	0.984	0
P0A7W7	P61175	8rdw	0.984	0
P0ADY3	P61175	8rdw	0.984	0
P0ADY7	P61175	8rdw	0.984	0
P0AG48	P61175	8rdw	0.984	0
P0AG63	P61175	8rdw	0.984	0
P0C1H6	P68431	5b0z	0.984	1
P0C1H6	P84243	5b0z	0.984	1
P0C1H6	Q16695	5b0z	0.984	1
P0C1H6	Q5TEC6	5b0z	0.984	1
P0C1H6	Q6NXT2	5b0z	0.984	1
P0C1H6	Q71DI3	5b0z	0.984	1
P15880	P62280	7cpv	0.984	0
P18124	P62280	7cpv	0.984	0
P19224	Q9HAW7	2o6l	0.984	0
P19224	Q9HAW8	2o6l	0.984	0
P19224	Q9HAW9	2o6l	0.984	0
P27635	P62280	7cpv	0.984	0
P36578	P62280	7cpv	0.984	0
P39019	P62280	7cpv	0.984	0
P40089	P57743	4m75	0.984	0
P42036	Q8L953	6zj3	0.984	0
P43321	Q04693	5zwo	0.984	0
P43333	Q39190	3jb9	0.984	0
P46779	P62280	7cpv	0.984	0
P47964	P62264	7oyb	0.984	0
P47964	P62889	7oyb	0.984	0
P49201	Q8L953	6zj3	0.984	0
P49227	Q8L953	6zj3	0.984	0
P49690	Q8L953	6zj3	0.984	0
P49770	Q14232	7kmf	0.984	0
P49770	Q9UI10	7kmf	0.984	0
P50914	P62280	7cpv	0.984	0
P56757	P83483	5dn6	0.984	0
P56757	Q9C5A9	5dn6	0.984	0
P59223	Q8L953	6zj3	0.984	0
P59224	Q8L953	6zj3	0.984	0
P61513	P62841	7oyc	0.984	0
P62280	P63220	7cpv	0.984	0
P62280	Q96L21	7cpv	0.984	0
P62888	Q8TDN6	8esr	0.984	0
P62899	Q8TDN6	8esr	0.984	0
P68368	Q7TMM9	6wvm	0.984	0
Q08682	Q8L953	6zj3	0.984	0
Q13618	Q9NVR0	4apf	0.984	0
Q15118	Q15119	3crk	0.984	0
Q15118	Q15120	3crk	0.984	0
Q39190	Q39244	3jb9	0.984	0
Q39190	Q8H1S6	3jb9	0.984	0
Q3UX10	Q7TMM9	6wvm	0.984	1
Q68FF6	Q9JLQ2	6jmt	0.984	0
Q7TMM9	Q9JJZ2	6wvm	0.984	0
Q8L953	Q8LBI1	6zj3	0.984	0
Q8L953	Q8RXU5	6zj3	0.984	0
Q8L953	Q8VZ19	6zj3	0.984	0
Q8L953	Q9C8F7	6zj3	0.984	0
Q8L953	Q9CAX6	6zj3	0.984	0
Q8L953	Q9FJA6	6zj3	0.984	0
Q8L953	Q9FLF0	6zj3	0.984	0
Q8L953	Q9LSA3	6zj3	0.984	0
Q8L953	Q9LXG1	6zj3	0.984	0
Q8L953	Q9SF35	6zj3	0.984	0
Q8L953	Q9SFU1	6zj3	0.984	0
Q8L953	Q9SIH0	6zj3	0.984	0
Q8L953	Q9SIP7	6zj3	0.984	0
Q8TDN6	Q9UHA3	8esr	0.984	0
Q921S7	Q9D7N3	7qi6	0.984	0
Q93VI3	Q9C912	9axv	0.984	0
Q93VI3	Q9LMK0	9axv	0.984	0
Q99LC3	Q9CPP6	7v2d	0.984	0
Q99N87	Q9D7N3	7qi6	0.984	0
Q9C4Z6	Q9LYK9	8b2l	0.984	0
Q9CPP6	Q9DC70	7v2d	0.984	0
Q9CQ91	Q9CQZ5	8pw7	0.984	0
Q9DC51	Q9QZB1	2ihb	0.984	0
Q9HBI1	Q9NVD7	4edl	0.984	0
Q9LV28	Q9LYK9	8b2l	0.984	0
Q9LYK9	Q9S9P1	8b2l	0.984	0
Q9LYK9	Q9SIM4	8b2l	0.984	0
Q9LYK9	Q9SKZ3	8b2l	0.984	0
Q9LYK9	Q9STR1	8b2l	0.984	0
Q9LYK9	Q9T043	8b2l	0.984	0
Q9VG96	Q9VGA1	5f0g	0.984	0
Q9VG98	Q9VGA1	5f0g	0.984	0
Q9VGA0	Q9VGA1	5f0g	0.984	0
A0A096LP55	P00403	8ugh	0.984	0
B1AS29	Q60934	3qlt	0.984	0
O14561	P03891	8pw6	0.984	0
O14807	P62136	7tvf	0.984	0
O14807	P62140	7tvf	0.984	0
O15239	O96000	6zkb	0.984	0
O22795	Q8VZ55	5h1s	0.984	0
O23290	Q9FZH0	8c3a	0.984	0
O23515	Q9FZH0	8c3a	0.984	0
O35216	P70696	7xvl	0.984	0
O43920	P00403	8ugh	0.984	0
O64650	Q8LPJ7	8ip9	0.984	0
O75306	P00403	8ugh	0.984	0
O80646	Q9FZH0	8c3a	0.984	0
O95167	O96000	6zkb	0.984	0
O95167	P03901	8ugn	0.984	0
O95167	Q9UDW1	8ugn	0.984	0
O96000	Q9P0J0	6zkb	0.984	0
P00156	P03891	8pw6	0.984	0
P00403	P03891	8ugh	0.984	0
P00403	P07919	8ugh	0.984	0
P00403	P22695	8ugh	0.984	0
P03888	Q9DCS9	8iao	0.984	0
P03891	P14927	8pw6	0.984	0
P03891	P20674	8pw6	0.984	0
P03891	Q16718	8pw6	0.984	0
P07281	P0CX23	5it7	0.984	0
P07281	P38754	5it7	0.984	0
P09180	P32100	8fks	0.984	0
P0A7U7	P0A7X3	7ryh	0.984	0
P14148	P62754	8q87	0.984	0
P15927	P27694	1l1o	0.984	0
P17094	Q9FZH0	8c3a	0.984	0
P18124	P32969	9cai	0.984	0
P20434	P20436	7wbx	0.984	0
P21276	Q9LU64	7bjk	0.984	0
P22738	Q9FZH0	8c3a	0.984	0
P23198	P83917	6d08	0.984	0
P24636	P29517	6mzg	0.984	0
P29515	P29517	6mzg	0.984	0
P29516	P29517	6mzg	0.984	0
P40304	Q9XZJ4	8qyo	0.984	0
P42791	P42794	5xxb	0.984	0
P42791	P51414	5xxb	0.984	0
P42791	Q9FJX2	5xxb	0.984	0
P42794	Q9M885	8b2l	0.984	0
P42795	Q9M885	8b2l	0.984	0
P42798	Q9FZH0	8c3a	0.984	0
P46286	Q9FZH0	8c3a	0.984	0
P47911	Q6ZWV7	8a3d	0.984	0
P47962	Q6ZWV7	8a3d	0.984	0
P49690	Q9M885	8b2l	0.984	0
P51414	Q9FZH0	8c3a	0.984	0
P51419	Q9FZH0	8c3a	0.984	0
P52432	P59470	7du2	0.984	1
P55935	Q9W1V3	7mq9	0.984	0
P59223	Q9FZH0	8c3a	0.984	0
P59224	Q9FZH0	8c3a	0.984	0
P61158	Q92747	2p9s	0.984	0
P62889	Q9DCA5	8esr	0.984	1
P62900	Q9DCA5	8esr	0.984	1
P77499	P77689	5awf	0.984	0
P86048	Q6ZWV7	8a3d	0.984	0
Q42064	Q9FZH0	8c3a	0.984	0
Q42262	Q9FZH0	8c3a	0.984	0
Q43292	Q93VT9	7zw0	0.984	0
Q4PSL7	Q9FZH0	8c3a	0.984	0
Q62348	Q9QZE7	3pja	0.984	0
Q6ZWV3	Q6ZWV7	8a3d	0.984	0
Q6ZWV7	Q9D1R9	8a3d	0.984	0
Q8H173	Q9FZH0	8c3a	0.984	0
Q8L953	Q8LPJ7	8ip9	0.984	0
Q8LCL3	Q9FZH0	8c3a	0.984	0
Q8LEM8	Q93VT9	7zw0	0.984	0
Q8LPJ7	Q9M2F1	8ip9	0.984	0
Q8N983	Q9BRJ2	6nu3	0.984	0
Q8RXU5	Q9FZH0	8c3a	0.984	0
Q8VYF1	Q9FZH0	8c3a	0.984	0
Q8VZ19	Q9M885	8b2l	0.984	0
Q91WD5	Q9DCT2	8esw	0.984	0
Q9C4Z6	Q9M885	8b2l	0.984	0
Q9C8F7	Q9M885	8b2l	0.984	0
Q9CAV0	Q9FZH0	8c3a	0.984	0
Q9CPP6	Q9DCS9	8iao	0.984	0
Q9CQZ5	Q9DCS9	8iao	0.984	0
Q9CXT8	Q9DCS9	8iao	0.984	0
Q9CZ13	Q9DCS9	8iao	0.984	0
Q9D0M3	Q9DCS9	8iao	0.984	0
Q9FJX2	Q9FZH0	8c3a	0.984	0
Q9FLF0	Q9FZH0	8c3a	0.984	0
Q9FNP8	Q9LHP1	7cpv	0.984	0
Q9FZH0	Q9LX88	8c3a	0.984	0
Q9FZH0	Q9LXG1	8c3a	0.984	0
Q9FZH0	Q9SKX8	8c3a	0.984	0
Q9FZH0	Q9SRK6	8c3a	0.984	0
Q9LSA3	Q9M885	8b2l	0.984	0
Q9LV28	Q9M885	8b2l	0.984	0
Q9M885	Q9S9P1	8b2l	0.984	0
Q9M885	Q9SIM4	8b2l	0.984	0
Q9M885	Q9SKZ3	8b2l	0.984	0
Q9M885	Q9STR1	8b2l	0.984	0
Q9M885	Q9T043	8b2l	0.984	0
Q9P0J6	Q9Y3B7	6ydw	0.984	0
Q9Y2R5	Q9Y3B7	6ydw	0.984	0
A0A0A6YW33	Q9D7S7	7oyc	0.984	1
O00217	O75380	5gpn	0.984	0
O00217	P17568	8uey	0.984	0
O09167	Q9D7S7	7oyc	0.984	0
O23290	Q9LZ57	9cai	0.984	0
O43181	O75380	5gpn	0.984	0
O55142	Q9D7S7	7oyc	0.984	0
O75251	O75380	5gpn	0.984	0
O75380	O75489	5gpn	0.984	0
O75380	P00414	5gpn	0.984	0
O75380	P03891	5gpn	0.984	0
O75380	P03905	5gpn	0.984	0
O75380	P51970	5gpn	0.984	0
O75380	Q86Y39	5gpn	0.984	0
O76927	P50882	8q87	0.984	0
P05737	P0C2H7	8eug	0.984	0
P0A7W1	P60422	7jil	0.984	0
P0C2H7	Q12213	8eug	0.984	0
P0CX49	Q08235	7ohr	0.984	0
P11940	Q13310	1cvj	0.984	0
P14120	P29453	7oyb	0.984	0
P14126	Q08235	7ohr	0.984	0
P14148	Q9D7S7	7oyc	0.984	0
P16104	Q96A08	8g8b	0.984	0
P18931	Q94519	8esz	0.984	0
P22723	P63137	9eqg	0.984	0
P23968	P32842	6c6l	0.984	0
P26785	P46784	7oyc	0.984	0
P27681	P63137	9eqg	0.984	0
P29453	P38701	7oyb	0.984	0
P35132	Q9FHQ6	8vk9	0.984	0
P35980	Q9D7S7	7oyc	0.984	0
P38061	Q08235	7ohr	0.984	0
P38666	Q9FLF0	8ip8	0.984	0
P38754	Q08235	7ohr	0.984	0
P41105	Q9D7S7	7oyc	0.984	0
P41126	P50882	8q87	0.984	0
P46223	P50882	8q87	0.984	0
P46784	P46990	7oyc	0.984	0
P47963	Q9D7S7	7oyc	0.984	0
P47964	Q9D7S7	7oyc	0.984	0
P48047	Q06055	6tt7	0.984	0
P49204	P49692	7oyb	0.984	0
P49626	Q08235	7ohr	0.984	0
P50882	Q9VZS5	8q87	0.984	0
P51414	Q9LZ57	9cai	0.984	0
P51419	P51422	7r81	0.984	0
P51419	Q9C912	7r81	0.984	0
P51419	Q9LMK0	7r81	0.984	0
P51419	Q9SVR0	7r81	0.984	0
P51422	Q8LCL3	7r81	0.984	0
P60040	Q9LZ57	9cai	0.984	0
P62241	P62913	8ogj	0.984	0
P62717	Q9D7S7	7oyc	0.984	0
P62830	Q9D7S7	7oyc	0.984	0
P62843	Q9D7S7	7oyc	0.984	0
P62908	Q9CR57	9cai	0.984	0
P63137	Q9R0Y8	9eqg	0.984	0
P68040	Q9D7S7	7oyc	0.984	0
P82675	P82912	3j9m	0.984	0
P82675	Q16540	3j9m	0.984	0
P82675	Q9Y3D3	3j9m	0.984	0
P83882	Q9D7S7	7oyc	0.984	0
P84098	Q6P5R6	7oyd	0.984	0
Q42347	Q9FLF0	8ip8	0.984	0
Q43292	Q9FLF0	8ip8	0.984	0
Q61188	Q921E6	5wg6	0.984	0
Q7TNP2	Q8BG02	8twe	0.984	1
Q7TNP2	Q925E7	8twe	0.984	0
Q8LCL3	Q9C912	7r81	0.984	0
Q8LCL3	Q9LMK0	7r81	0.984	0
Q8LCL3	Q9SVR0	7r81	0.984	0
Q8LEM8	Q9FLF0	8ip8	0.984	0
Q8MLY8	Q9W5R8	8ipb	0.984	0
Q8RXU5	Q9LZ57	9cai	0.984	0
Q91VD9	Q91WD5	8esw	0.984	0
Q91VD9	Q9CR21	8esw	0.984	0
Q91VD9	Q9DCT2	8esw	0.984	0
Q94519	Q9VF27	8esz	0.984	0
Q94519	Q9VMU0	8esz	0.984	0
Q9BQ48	Q9H9J2	7oib	0.984	0
Q9CQR2	Q9D7S7	7oyc	0.984	0
Q9CR57	Q9D7S7	7oyc	0.984	0
Q9D1R9	Q9D7S7	7oyc	0.984	0
Q9D7S7	Q9D8E6	7oyc	0.984	0
Q9FJA6	Q9LZ57	9cai	0.984	0
Q9FJX2	Q9LZ57	9cai	0.984	0
Q9FKC0	Q9LF30	6zj3	0.984	0
Q9FLF0	Q9LF30	6zj3	0.984	0
Q9LF30	Q9LRX8	6zj3	0.984	0
Q9LF30	Q9SFU1	6zj3	0.984	0
Q9LZ57	Q9SIP7	9cai	0.984	0
Q9LZ57	Q9SR73	9cai	0.984	0
Q9VEG5	Q9W2S2	7lsw	0.984	0
C0HL66	P84051	6ke9	0.983	0
G3X972	Q9D662	5kyw	0.983	0
O14455	P87262	8aaf	0.983	0
O14561	P28331	8esw	0.983	0
O14957	O95167	8ugn	0.983	0
O14957	P03901	8ugn	0.983	0
O14957	Q9Y6M9	8ugn	0.983	0
O22446	Q9FKQ3	8kd3	0.983	0
O75306	P28331	8esw	0.983	0
O75489	P28331	8esw	0.983	0
O80626	Q9ZUT9	8q7z	0.983	0
O80929	Q9ZUT9	8q7z	0.983	0
P02299	P84051	6ke9	0.983	0
P02359	P0A7U7	6osk	0.983	0
P04449	P87262	8aaf	0.983	0
P04899	P09471	3c7k	0.983	0
P05750	P06367	5xxu	0.983	0
P0A7M2	P0A7W1	7uvx	0.983	0
P0C0W9	P51401	6uz7	0.983	0
P0C0W9	P56628	6uz7	0.983	0
P39023	P62273	7qiz	0.983	0
P42791	P42795	5xxb	0.983	0
P42794	Q8LD03	8b2l	0.983	0
P42795	Q8LD03	8b2l	0.983	0
P46778	P62913	8eug	0.983	0
P47964	Q6ZWV7	8a3d	0.983	0
P49690	Q8LD03	8b2l	0.983	0
P56795	P61841	7nhn	0.983	0
P56795	P93014	7nhn	0.983	0
P56795	Q9XJ27	7nhn	0.983	0
P59223	Q9SF53	9axt	0.983	0
P59224	Q9SF53	9axt	0.983	0
P60422	P62399	8fn2	0.983	0
Q06402	Q9SAR0	7dlw	0.983	0
Q08770	Q9ZUT9	8q7z	0.983	0
Q8LB02	Q9FIJ2	8bqs	0.983	0
Q8LD03	Q8VZ19	8b2l	0.983	0
Q8LD03	Q9C4Z6	8b2l	0.983	0
Q8LD03	Q9C8F7	8b2l	0.983	0
Q8LD03	Q9LSA3	8b2l	0.983	0
Q8LD03	Q9LV28	8b2l	0.983	0
Q8LD03	Q9S9P1	8b2l	0.983	0
Q8LD03	Q9SIM4	8b2l	0.983	0
Q8LD03	Q9SKZ3	8b2l	0.983	0
Q8LD03	Q9STR1	8b2l	0.983	0
Q8LD03	Q9T043	8b2l	0.983	0
Q93W22	Q9ZUT9	8q7z	0.983	0
Q94511	Q9VTB4	6zkh	0.983	0
Q99N93	Q9D1H8	7po4	0.983	0
Q99N95	Q9D1H8	7po4	0.983	0
Q9D1H8	Q9DCU6	7po4	0.983	0
Q9FKQ3	Q9FML2	8kd3	0.983	0
Q9LZ41	Q9ZUT9	8q7z	0.983	0
Q9LZ57	Q9ZUT9	8q7z	0.983	0
Q9M3D2	Q9ZUT9	8q7z	0.983	0
Q9SF53	Q9ZUT9	8q7z	0.983	0
E9PWZ3	Q99L28	7u0h	0.983	1
O04603	Q9LK61	7p7u	0.983	0
O08849	P08752	2ik8	0.983	0
O08849	Q9DC51	2ik8	0.983	0
O14957	Q8TF08	8ugr	0.983	0
O22795	P61841	5mmm	0.983	0
O23515	P49692	7oyb	0.983	0
O81098	Q8LEF3	9bz0	0.983	0
O81148	Q8LD27	7ls5	0.983	0
O96000	P03901	6zkb	0.983	0
P02786	P02787	6d04	0.983	0
P03901	Q9P0J0	6zkb	0.983	0
P05317	P07281	8k82	0.983	0
P05317	P51402	8k82	0.983	0
P05740	Q12672	9axv	0.983	0
P05744	Q12672	9axv	0.983	0
P06367	Q12672	9axv	0.983	0
P06729	P19256	1qa9	0.983	0
P0A7R9	P0A7W1	7p7t	0.983	0
P0A7W1	P0AG48	7jil	0.983	0
P0ADX5	P20605	5jfz	0.983	0
P0AG51	P61175	8cvm	0.983	0
P0CG69	Q9VA71	7l97	0.983	1
P0CX23	P29453	8oj3	0.983	0
P0CX35	Q12672	9axv	0.983	0
P12686	P38783	8om4	0.983	0
P14106	P98086	2wnv	0.983	0
P14120	Q12672	9axv	0.983	0
P25443	Q12672	9axv	0.983	0
P26040	P26043	4rma	0.983	0
P26041	P26043	4rma	0.983	0
P27659	Q99L28	7u0h	0.983	1
P32100	P46222	9cai	0.983	0
P34788	Q9FLF0	7qiz	0.983	0
P34788	Q9T029	8r57	0.983	0
P36578	Q02878	8q87	0.983	0
P38666	Q9SIK2	8bn3	0.983	0
P38783	P42847	8om4	0.983	0
P38783	P53292	8om4	0.983	0
P39516	Q12672	9axv	0.983	0
P39939	Q12672	9axv	0.983	0
P41223	Q9NW64	8i0p	0.983	0
P46222	Q9VBN5	9cai	0.983	0
P46782	Q13895	7wu0	0.983	0
P46990	Q12672	9axv	0.983	0
P48456	Q27889	6tz6	0.983	0
P49206	Q9FLF0	7qiz	0.983	0
P49209	Q9FLF0	7qiz	0.983	0
P49211	Q9FLF0	7qiz	0.983	0
P50287	Q8GXG1	4pv3	0.983	0
P51401	Q3E757	6uz7	0.983	0
P51413	Q9FLF0	7qiz	0.983	0
P51420	Q9FLF0	7qiz	0.983	0
P51424	Q9FLF0	7qiz	0.983	0
P51427	Q9SIK2	8bn3	0.983	0
P56628	Q3E757	6uz7	0.983	0
P56793	Q9LK61	7p7u	0.983	0
P56797	P61841	5mmm	0.983	0
P56797	P92959	5mmm	0.983	0
P56798	P61841	5mmm	0.983	0
P56798	P92959	5mmm	0.983	0
P56799	P61841	5mmm	0.983	0
P56804	P61841	5mmm	0.983	0
P56804	P92959	5mmm	0.983	0
P56806	P61841	5mmm	0.983	1
P56806	P92959	5mmm	0.983	1
P60039	Q9FLF0	7qiz	0.983	0
P60040	Q9FLF0	7qiz	0.983	0
P61841	P62126	5mmm	0.983	0
P61841	P92959	5mmm	0.983	0
P61841	Q8VY91	5mmm	0.983	0
P61841	Q9LK61	7p7u	0.983	0
P61841	Q9SX68	5mmm	0.983	0
P62126	P92959	5mmm	0.983	0
P62249	Q13895	7wu0	0.983	0
P62301	Q9CTH6	6zqg	0.983	0
P62918	Q99L28	7u0h	0.983	1
P78417	Q9H4Y5	6mhb	0.983	0
P92948	Q0WMV8	8i0r	0.983	1
P92959	P93014	5mmm	0.983	0
P92959	Q8VY91	5mmm	0.983	0
P92959	Q9SX68	5mmm	0.983	0
Q13617	Q92624	8jau	0.983	0
Q42347	Q9SIK2	8bn3	0.983	0
Q680P8	Q9FLF0	7qiz	0.983	0
Q6N069	Q9BSU3	6c9m	0.983	0
Q8BFP9	Q8BKZ9	3crl	0.983	0
Q8K406	Q9R1V6	5y2z	0.983	0
Q8K4Z0	Q9R1V6	5y2z	0.983	0
Q8L8W6	Q9FLF0	7qiz	0.983	0
Q8LD03	Q9FLF0	7qiz	0.983	0
Q8LD46	Q9FLF0	7qiz	0.983	0
Q8LPJ7	Q9FLF0	7qiz	0.983	0
Q8TF08	Q9UDW1	8ugr	0.983	0
Q93VG5	Q9FLF0	7qiz	0.983	0
Q93VI3	Q9FLF0	7qiz	0.983	0
Q9BXR0	Q9H974	7owz	0.983	0
Q9FE58	Q9FLF0	7qiz	0.983	0
Q9FHG2	Q9FLF0	7qiz	0.983	0
Q9FIF3	Q9FLF0	7qiz	0.983	0
Q9FJA6	Q9T029	8r57	0.983	0
Q9FLF0	Q9LYK9	7qiz	0.983	0
Q9FLF0	Q9M885	7qiz	0.983	0
Q9FLF0	Q9M9W1	7qiz	0.983	0
Q9FLF0	Q9SLL7	7qiz	0.983	0
Q9FLF0	Q9SRX7	7qiz	0.983	0
Q9FLF0	Q9SS17	7qiz	0.983	0
Q9FLF0	Q9SZX9	7qiz	0.983	0
Q9JIA1	Q9R1V6	5y2z	0.983	0
Q9M339	Q9T029	8r57	0.983	0
Q9SA56	Q9SY97	7bgi	0.983	0
Q9SIK2	Q9ZUT9	8bn3	0.983	0
Q9SIP7	Q9T029	8r57	0.983	0
Q9VA71	Q9W418	7l97	0.983	1
Q9VA71	R9PY16	7l97	0.983	1
F4KCN6	P59232	6njd	0.983	0
O08547	Q9D662	5vnj	0.983	0
O08740	Q80UW8	6drd	0.983	0
O13516	P0CX37	5ndv	0.983	0
O22795	O23049	5x8t	0.983	0
O23049	Q9FJP3	5x8t	0.983	0
O23290	Q08770	9cai	0.983	0
O43791	Q13618	4eoz	0.983	0
O80646	Q08770	9cai	0.983	0
P03903	Q9CQZ5	7ak5	0.983	0
P04449	P0CX37	5ndv	0.983	0
P05755	P0CX37	5ndv	0.983	0
P07437	P0DPH7	6wvm	0.983	0
P07437	P68363	6wvm	0.983	0
P07437	P68366	6wvm	0.983	0
P07437	Q6PEY2	6wvm	0.983	0
P07437	Q9NY65	6wvm	0.983	0
P0A7L3	P0AG51	5xym	0.983	0
P0A7M6	P62399	7bv8	0.983	0
P0A7T7	P0A7W1	8rdv	0.983	0
P0C2H8	P41805	8p8m	0.983	0
P0CG49	P68037	4q5h	0.983	0
P0CX35	P0CX37	5ndv	0.983	0
P10144	P20718	3g01	0.983	0
P19388	Q9H9Y6	7vba	0.983	0
P28817	P53305	8om2	0.983	0
P29052	Q27896	1c9b	0.983	0
P29387	P63213	8e3z	0.983	0
P29513	P29517	6mzg	0.983	0
P35700	Q61171	1e2y	0.983	0
P38061	Q07915	8evs	0.983	0
P42798	Q08770	9cai	0.983	0
P43321	Q02260	6g90	0.983	0
P49692	Q8VYF1	7oyb	0.983	0
P49760	P49761	6ytw	0.983	0
P51413	Q08770	9cai	0.983	0
P56383	Q9DB20	6tt7	0.983	0
P59232	P59271	6njd	0.983	0
P59232	Q42202	6njd	0.983	0
P60039	Q9LZ41	7cpv	0.983	0
P60040	Q9LZ41	7cpv	0.983	0
P61081	Q8TBC4	1y8x	0.983	0
P62874	P63213	8e3z	0.983	0
P62880	P63213	8e3z	0.983	0
P63213	Q61011	8e3z	0.983	0
P76632	Q46897	4u7u	0.983	0
P78348	Q16515	6x9h	0.983	0
P82921	Q9H0U6	7og4	0.983	0
P84098	Q07020	8pv8	0.983	0
P97760	Q80UW8	6drd	0.983	0
Q08770	Q8VZ19	9cai	0.983	0
Q08770	Q9C8F7	9cai	0.983	0
Q08770	Q9FJA6	9cai	0.983	0
Q08770	Q9LSA3	9cai	0.983	0
Q08770	Q9LX88	9cai	0.983	0
Q08770	Q9M339	9cai	0.983	0
Q08770	Q9SIP7	9cai	0.983	0
Q08770	Q9SR73	9cai	0.983	0
Q13618	Q6IQ16	4eoz	0.983	0
Q14703	Q9H741	8uw8	0.983	0
Q39242	Q39243	4ccr	0.983	0
Q3V1D3	Q9DBT5	8hu6	0.983	0
Q91WD5	Q9DCJ5	8ic3	0.983	0
Q9FIF3	Q9LZ41	7cpv	0.983	0
Q9LHP1	Q9LZ41	7cpv	0.983	0
B9DHQ0	P12411	4lnu	0.983	0
O04603	P56806	7p7u	0.983	1
O08529	O35350	1mdw	0.983	0
O14455	P05317	8aaf	0.983	0
O14464	P47141	5mrc	0.983	0
O23290	Q93VT9	9cai	0.983	0
O35680	Q8R2L5	6nf8	0.983	0
O35680	Q9CQE3	6nf8	0.983	0
O35680	Q9CXW2	6nf8	0.983	0
O35680	Q9CY16	6nf8	0.983	0
O35680	Q9ER88	6nf8	0.983	0
O43676	P03891	7psa	0.983	0
O75306	P03901	7ak5	0.983	0
O75306	P17568	7ak5	0.983	0
P04449	P05317	8aaf	0.983	0
P04650	P0C2H6	8b2l	0.983	0
P05317	P40525	8aaf	0.983	0
P05317	P87262	8aaf	0.983	0
P05317	Q12672	8aaf	0.983	0
P05739	P14126	7ohu	0.983	0
P09734	P60010	8j07	0.983	0
P0A7N9	P0A7V8	7m4w	0.983	0
P0A7V8	P0AA10	7m4w	0.983	0
P0A7V8	P0AG51	7m4w	0.983	0
P0A7V8	P0C018	7m4w	0.983	0
P0A7V8	P60422	7m4w	0.983	0
P0C2H6	P46784	8b2l	0.983	0
P0C2H6	Q08745	8b2l	0.983	0
P0C2H7	P0CX41	6uz7	0.983	0
